,genes,logFC,logCPM,PValue,FDR,log10p,sig
20703,Migut.L01014.v2.0,0.182799994,5.619515329,0.423696697,0.602952992,0.372944922,FALSE
16442,Migut.J00165.v2.0,0.440131406,4.502816297,0.423900486,0.603154117,0.372736086,FALSE
22506,Migut.M00762.v2.0,-0.17997142,4.587228241,0.423979484,0.603177649,0.372655158,FALSE
9645,Migut.F00637.v2.0,0.27846423,4.831014173,0.424249339,0.603410171,0.372378825,FALSE
19894,Migut.L00205.v2.0,0.131785231,5.663116007,0.424269559,0.603410171,0.372358128,FALSE
7587,Migut.E00408.v2.0,-0.290655815,3.992784101,0.424330379,0.603410171,0.372295875,FALSE
5474,Migut.D00894.v2.0,-0.213342702,4.586169605,0.424678718,0.603816604,0.371939503,FALSE
4847,Migut.D00267.v2.0,-0.371063436,4.323967606,0.424843694,0.603962248,0.371770824,FALSE
25163,Migut.N01380.v2.0,-0.305086448,4.896633915,0.425052805,0.604114406,0.371557114,FALSE
24615,Migut.N00832.v2.0,0.258201914,4.869768147,0.42507584,0.604114406,0.371533578,FALSE
27014,Migut.N03231.v2.0,-0.188979506,4.504663089,0.425220878,0.60423161,0.37138542,FALSE
18183,Migut.K00011.v2.0,0.186881112,4.342881224,0.425681335,0.604776663,0.370915392,FALSE
17666,Migut.J01389.v2.0,0.225924348,4.839240181,0.425729704,0.604776663,0.370866047,FALSE
4356,Migut.C01188.v2.0,-0.181647453,5.45418102,0.425808949,0.604788871,0.370785216,FALSE
10845,Migut.F01837.v2.0,-0.167427394,6.562528467,0.425903513,0.604788871,0.370688777,FALSE
7979,Migut.E00800.v2.0,-0.160713232,5.780513213,0.425926179,0.604788871,0.370665665,FALSE
9836,Migut.F00828.v2.0,0.278550383,6.357954203,0.425994927,0.60479756,0.370595573,FALSE
8113,Migut.E00934.v2.0,-0.326647722,7.065984405,0.426313927,0.605161487,0.370270479,FALSE
22438,Migut.M00694.v2.0,-0.162359761,4.836721084,0.426489151,0.605292737,0.370092012,FALSE
15601,Migut.I00540.v2.0,0.238710781,6.249993934,0.426535399,0.605292737,0.37004492,FALSE
24204,Migut.N00421.v2.0,0.349989645,4.739582812,0.426594426,0.605292737,0.369984824,FALSE
4175,Migut.C01007.v2.0,-0.200217661,5.105216219,0.426786728,0.605476631,0.369789095,FALSE
13333,Migut.H00831.v2.0,-0.14934535,5.463115774,0.426876767,0.605515414,0.369697481,FALSE
26836,Migut.N03053.v2.0,-0.366099345,5.038307285,0.42702464,0.605636209,0.369547065,FALSE
5469,Migut.D00889.v2.0,-0.169327019,7.432283289,0.427167898,0.60567084,0.369401392,FALSE
5223,Migut.D00643.v2.0,-0.429526164,3.858025779,0.427174494,0.60567084,0.369394686,FALSE
4409,Migut.C01241.v2.0,-0.184424232,5.335843845,0.427348645,0.605828812,0.369217668,FALSE
25063,Migut.N01280.v2.0,0.240534837,6.733898868,0.427677503,0.606197904,0.368883594,FALSE
8795,Migut.E01616.v2.0,-0.466824876,6.128790619,0.427734547,0.606197904,0.368825671,FALSE
1254,Migut.B00009.v2.0,-0.251117913,6.347826358,0.427949408,0.606413416,0.36860757,FALSE
12527,Migut.H00025.v2.0,-0.235308543,4.375260158,0.428204426,0.606612793,0.368348848,FALSE
15,Migut.A00015.v2.0,-0.177074661,6.119350503,0.428215741,0.606612793,0.368337372,FALSE
6649,Migut.D02069.v2.0,-0.121471099,4.8820945,0.428294564,0.606635465,0.368257438,FALSE
27774,Migut.O00615.v2.0,-0.286147817,8.7291365,0.428439642,0.606751961,0.368110353,FALSE
6961,Migut.D02381.v2.0,0.154057145,4.603655605,0.428603462,0.606894961,0.367944325,FALSE
19845,Migut.L00156.v2.0,-0.20346683,5.001460475,0.428713398,0.60696163,0.367832944,FALSE
25308,Migut.N01525.v2.0,0.291003996,8.117215814,0.428814572,0.607015879,0.367730465,FALSE
21602,Migut.L01913.v2.0,0.222578361,4.311188282,0.4290162,0.607212289,0.367526308,FALSE
25295,Migut.N01512.v2.0,0.218324721,5.218035432,0.429085043,0.607220729,0.367456624,FALSE
18744,Migut.K00572.v2.0,-0.210148509,4.782982658,0.429385304,0.60752916,0.367152824,FALSE
10846,Migut.F01838.v2.0,-0.196229198,4.877278006,0.429428813,0.60752916,0.36710882,FALSE
17932,Migut.J01655.v2.0,0.141352474,6.227793049,0.429636486,0.60773393,0.366898845,FALSE
15720,Migut.I00659.v2.0,-0.157782798,5.746614445,0.42996659,0.608095816,0.366565289,FALSE
24433,Migut.N00650.v2.0,-0.187723841,5.130667871,0.430018259,0.608095816,0.366513103,FALSE
6680,Migut.D02100.v2.0,0.207176469,5.044481594,0.430390487,0.608418799,0.366137336,FALSE
9864,Migut.F00856.v2.0,-0.179462358,8.804443477,0.430397901,0.608418799,0.366129855,FALSE
27439,Migut.O00280.v2.0,0.263307383,4.370567692,0.430443284,0.608418799,0.366084064,FALSE
1346,Migut.B00101.v2.0,0.247267065,6.686574556,0.43049867,0.608418799,0.366028186,FALSE
11495,Migut.G00345.v2.0,-0.162594078,5.238412285,0.430654706,0.608550263,0.365870803,FALSE
1071,Migut.A01071.v2.0,0.277816157,8.067565466,0.431150654,0.609161941,0.365370951,FALSE
9806,Migut.F00798.v2.0,-0.184184815,5.276242171,0.431269293,0.609240428,0.365251463,FALSE
837,Migut.A00837.v2.0,0.139899361,7.346766489,0.431350295,0.609265731,0.3651699,FALSE
6200,Migut.D01620.v2.0,-0.284462532,5.820065927,0.43154256,0.609448157,0.364976367,FALSE
5282,Migut.D00702.v2.0,-0.133146756,5.02291549,0.431780884,0.609695569,0.364736589,FALSE
10507,Migut.F01499.v2.0,-0.187537366,4.058210401,0.431952141,0.60984822,0.364564369,FALSE
23561,Migut.M01817.v2.0,0.406164019,5.165862989,0.43213932,0.610023303,0.364376215,FALSE
1779,Migut.B00534.v2.0,0.174583412,4.222161446,0.432405325,0.610309591,0.364108967,FALSE
10729,Migut.F01721.v2.0,0.186165046,4.160965026,0.432842807,0.610837788,0.363669795,FALSE
1855,Migut.B00610.v2.0,-0.189292474,6.1151149,0.433022016,0.611001403,0.363490023,FALSE
23785,Migut.N00002.v2.0,0.124577952,5.363631032,0.433184193,0.611140943,0.363327399,FALSE
14487,Migut.H01985.v2.0,-0.150992155,5.829282049,0.433264548,0.611165022,0.363246846,FALSE
21681,Migut.L01992.v2.0,0.14464229,6.632640967,0.433510674,0.611406517,0.363000204,FALSE
5608,Migut.D01028.v2.0,-0.438811522,5.860556851,0.433600747,0.611406517,0.362909978,FALSE
8070,Migut.E00891.v2.0,-0.177778876,7.857594256,0.433703502,0.611406517,0.362807071,FALSE
8580,Migut.E01401.v2.0,0.158040998,5.89324457,0.433738698,0.611406517,0.362771829,FALSE
7174,Migut.D02594.v2.0,-0.452390534,3.977167752,0.433752309,0.611406517,0.3627582,FALSE
14081,Migut.H01579.v2.0,0.303100969,5.214748953,0.43400181,0.611604368,0.362508459,FALSE
10962,Migut.F01954.v2.0,0.234836906,4.486785067,0.434019337,0.611604368,0.362490921,FALSE
2643,Migut.B01398.v2.0,0.241324789,7.606660095,0.434700455,0.612421059,0.361809905,FALSE
2804,Migut.B01559.v2.0,-0.15953852,5.536945051,0.434725728,0.612421059,0.361784656,FALSE
1053,Migut.A01053.v2.0,0.184381407,5.127251273,0.435104119,0.612864713,0.361406806,FALSE
13784,Migut.H01282.v2.0,-0.210984609,4.991527009,0.435198001,0.612907553,0.361313108,FALSE
3940,Migut.C00772.v2.0,0.288224461,4.375867356,0.435328423,0.613001834,0.361182977,FALSE
21891,Migut.M00147.v2.0,-0.183080465,6.33272062,0.435989582,0.613795282,0.360523889,FALSE
19092,Migut.K00920.v2.0,-0.200900923,8.587629618,0.436019016,0.613795282,0.36049457,FALSE
16090,Migut.I01029.v2.0,0.297809966,4.050780212,0.436430646,0.614285199,0.360084761,FALSE
15399,Migut.I00338.v2.0,-0.156286665,5.452726951,0.436616457,0.614377084,0.359899899,FALSE
25088,Migut.N01305.v2.0,0.309176498,7.378921688,0.436623168,0.614377084,0.359893224,FALSE
6196,Migut.D01616.v2.0,-0.153032323,5.285057975,0.4370419,0.614876694,0.359476924,FALSE
24573,Migut.N00790.v2.0,-0.188110515,4.972696172,0.437177881,0.61491327,0.359341819,FALSE
8903,Migut.E01724.v2.0,0.498107614,3.967541375,0.437196215,0.61491327,0.359323607,FALSE
7852,Migut.E00673.v2.0,-0.158260076,4.347046143,0.437258923,0.61491327,0.359261319,FALSE
24559,Migut.N00776.v2.0,-0.223782658,10.09577329,0.437846639,0.615650115,0.35867798,FALSE
7157,Migut.D02577.v2.0,0.147983641,6.3686775,0.438140134,0.615973108,0.358386963,FALSE
14843,Migut.H02341.v2.0,-0.27911565,6.299319773,0.438243831,0.616023811,0.358284188,FALSE
8843,Migut.E01664.v2.0,0.22869797,4.450657742,0.43830378,0.616023811,0.358224784,FALSE
9901,Migut.F00893.v2.0,0.223650101,4.563033677,0.438413667,0.616088589,0.358115916,FALSE
24444,Migut.N00661.v2.0,0.152190488,5.562563427,0.439105986,0.616971702,0.357430642,FALSE
18854,Migut.K00682.v2.0,-0.188154397,5.228128907,0.439295733,0.617067335,0.357243016,FALSE
6610,Migut.D02030.v2.0,0.136590224,5.739325272,0.439301846,0.617067335,0.357236972,FALSE
2544,Migut.B01299.v2.0,-0.153975784,6.863996127,0.439383409,0.617092144,0.357156346,FALSE
19435,Migut.K01263.v2.0,0.141694657,6.975533815,0.439482559,0.617141642,0.357058355,FALSE
2846,Migut.B01601.v2.0,-0.437670778,4.196449149,0.439636699,0.617250824,0.356906062,FALSE
