,genes,logFC,,PValue,FDR,log10p,sig
19477,Migut.K01305.v2.0,-0.689538545,5.146936551,0.008032015,0.061221331,2.095175508,FALSE
3019,Migut.B01774.v2.0,-0.756685254,4.918668322,0.008032249,0.061221331,2.095162846,FALSE
16205,Migut.I01144.v2.0,-0.587772829,6.930027821,0.008056212,0.061355555,2.093869087,FALSE
5509,Migut.D00929.v2.0,-0.655851112,5.28515677,0.008113138,0.061682364,2.090811115,FALSE
78,Migut.A00078.v2.0,-0.84858277,5.67268585,0.008114698,0.061682364,2.090727632,FALSE
1679,Migut.B00434.v2.0,-3.299760516,3.642707598,0.00812251,0.061682364,2.090309732,FALSE
24236,Migut.N00453.v2.0,0.823084566,4.892283255,0.008127448,0.061682364,2.090045819,FALSE
18585,Migut.K00413.v2.0,1.627089779,3.786918742,0.00813106,0.061682364,2.089852817,FALSE
17239,Migut.J00962.v2.0,-0.551351963,5.503441418,0.008159607,0.061850334,2.088330757,FALSE
24617,Migut.N00834.v2.0,0.577139907,4.207350026,0.008192433,0.062041418,2.086587082,FALSE
22468,Migut.M00724.v2.0,0.445045351,6.783277258,0.008197665,0.062041418,2.086309842,FALSE
798,Migut.A00798.v2.0,0.49574009,6.531047794,0.008234037,0.06226789,2.084387183,FALSE
21143,Migut.L01454.v2.0,-0.561307529,4.902648948,0.008260698,0.062417296,2.082983234,FALSE
11521,Migut.G00371.v2.0,-1.125523787,3.929889688,0.008266721,0.062417296,2.082666733,FALSE
17965,Migut.J01688.v2.0,-0.818849894,4.114290281,0.008276167,0.062427035,2.082170774,FALSE
12118,Migut.G00968.v2.0,2.555152305,3.779890897,0.008280939,0.062427035,2.081920392,FALSE
2487,Migut.B01242.v2.0,-0.722485645,4.407921717,0.00833269,0.062768164,2.079214783,FALSE
11382,Migut.G00232.v2.0,-0.47496106,5.43815054,0.008349449,0.06284498,2.078342172,FALSE
15629,Migut.I00568.v2.0,0.614877407,6.000119738,0.008355903,0.06284498,2.078006617,FALSE
24682,Migut.N00899.v2.0,0.492263539,5.700657775,0.00838146,0.062988138,2.076680336,FALSE
15341,Migut.I00280.v2.0,2.003626497,8.820893281,0.008411487,0.063125569,2.075127205,FALSE
17989,Migut.J01712.v2.0,1.086155893,4.434917016,0.00841282,0.063125569,2.07505838,FALSE
3097,Migut.B01852.v2.0,0.642156095,5.709050986,0.008497159,0.063708898,2.070726278,FALSE
7154,Migut.D02574.v2.0,-0.570615994,4.312422251,0.008526788,0.063881453,2.069214529,FALSE
9331,Migut.F00323.v2.0,-0.550635293,4.965946697,0.008549665,0.063967987,2.068050894,FALSE
8818,Migut.E01639.v2.0,0.596332802,7.103941639,0.008551587,0.063967987,2.067953302,FALSE
25488,Migut.N01705.v2.0,0.557666344,5.456555951,0.008570746,0.064033695,2.066981367,FALSE
10001,Migut.F00993.v2.0,-0.589643933,4.738856879,0.008574407,0.064033695,2.066795887,FALSE
662,Migut.A00662.v2.0,0.993473012,4.481529086,0.008580263,0.064033695,2.066499393,FALSE
20174,Migut.L00485.v2.0,-0.909427583,4.287417181,0.008618351,0.064268273,2.064575832,FALSE
19299,Migut.K01127.v2.0,-0.788548567,4.37104237,0.008630821,0.06428281,2.063947874,FALSE
7207,Migut.E00028.v2.0,0.490170754,7.278670082,0.008636088,0.06428281,2.063682917,FALSE
866,Migut.A00866.v2.0,-0.593298298,6.215008241,0.00864027,0.06428281,2.063472688,FALSE
24333,Migut.N00550.v2.0,-0.545930653,5.822088537,0.008653333,0.064296369,2.062816567,FALSE
3884,Migut.C00716.v2.0,0.729694963,7.43349404,0.008655408,0.064296369,2.062712432,FALSE
24767,Migut.N00984.v2.0,2.282924677,4.070602633,0.008697563,0.064454005,2.060602426,FALSE
5105,Migut.D00525.v2.0,-0.666687652,5.420855111,0.008697741,0.064454005,2.060593553,FALSE
13751,Migut.H01249.v2.0,0.7844693,4.559594715,0.008701359,0.064454005,2.060412918,FALSE
22004,Migut.M00260.v2.0,-0.605481436,8.318980163,0.008703326,0.064454005,2.060314732,FALSE
18536,Migut.K00364.v2.0,-0.889233731,4.332251885,0.008713189,0.064477595,2.059822889,FALSE
3215,Migut.C00047.v2.0,-0.802965874,5.077742529,0.008737284,0.064606394,2.058623553,FALSE
18269,Migut.K00097.v2.0,1.588795541,4.040511529,0.008747143,0.064629808,2.058133779,FALSE
19732,Migut.L00043.v2.0,1.492476463,4.349013777,0.008763846,0.064703713,2.057305285,FALSE
9529,Migut.F00521.v2.0,0.470696879,5.483966015,0.008782264,0.064790164,2.056393503,FALSE
27952,Migut.O00793.v2.0,2.514601248,3.277835008,0.008834158,0.065123254,2.053834844,FALSE
6606,Migut.D02026.v2.0,0.671796248,7.101128992,0.008866916,0.065314882,2.052227393,FALSE
19503,Migut.K01331.v2.0,0.582577032,5.320186393,0.008889317,0.065429981,2.051131599,FALSE
25260,Migut.N01477.v2.0,-0.510971239,7.222394542,0.008941075,0.065760827,2.048610241,FALSE
14862,Migut.H02360.v2.0,0.828003179,4.052217303,0.008966344,0.065896487,2.047384602,FALSE
27899,Migut.O00740.v2.0,0.827613281,6.289985348,0.008977947,0.065931588,2.046822941,FALSE
10959,Migut.F01951.v2.0,0.584720187,7.977781417,0.00900247,0.066061437,2.045638324,FALSE
24274,Migut.N00491.v2.0,1.439142407,5.249071952,0.009016349,0.066113045,2.044969297,FALSE
25780,Migut.N01997.v2.0,0.902680816,4.311563146,0.009049323,0.0662648,2.043383891,FALSE
6360,Migut.D01780.v2.0,-0.58900341,6.006354738,0.009050769,0.0662648,2.043314542,FALSE
17499,Migut.J01222.v2.0,3.529981521,4.052383474,0.009067315,0.066335649,2.042521317,FALSE
12507,Migut.H00005.v2.0,0.859921029,6.758555739,0.009076418,0.066351982,2.042085515,FALSE
11311,Migut.G00161.v2.0,-0.698107431,6.578707791,0.009095265,0.066439467,2.041184639,FALSE
11024,Migut.F02016.v2.0,0.927417694,4.173396093,0.009109107,0.066490283,2.040524207,FALSE
6774,Migut.D02194.v2.0,-0.55508497,6.755703718,0.009189708,0.067027954,2.036698282,FALSE
11144,Migut.F02136.v2.0,-0.581627195,5.846602413,0.009204123,0.067082428,2.036017582,FALSE
9868,Migut.F00860.v2.0,-0.693413143,5.025136777,0.009280587,0.067564919,2.032424541,FALSE
6910,Migut.D02330.v2.0,-1.06778342,4.408827347,0.009284317,0.067564919,2.032250049,FALSE
7377,Migut.E00198.v2.0,0.542133998,5.201428587,0.009294596,0.06758879,2.031769483,FALSE
6462,Migut.D01882.v2.0,-0.710706917,4.44103857,0.009317123,0.067701624,2.030718167,FALSE
24163,Migut.N00380.v2.0,-0.712119497,4.717379401,0.009325231,0.06770959,2.030340404,FALSE
26013,Migut.N02230.v2.0,0.646217937,8.827436436,0.009365603,0.067951636,2.02846426,FALSE
268,Migut.A00268.v2.0,-0.552234135,5.641422358,0.009373042,0.067954551,2.028119456,FALSE
3925,Migut.C00757.v2.0,0.67479076,5.647434837,0.009428439,0.068304906,2.025560187,FALSE
28128,Migut.O00969.v2.0,1.395453371,3.590511977,0.0094578,0.068466251,2.024209855,FALSE
23055,Migut.M01311.v2.0,-0.757465156,7.125611854,0.00947743,0.068556962,2.023309404,FALSE
9559,Migut.F00551.v2.0,1.727468358,5.851999127,0.009494248,0.068627212,2.022539419,FALSE
13657,Migut.H01155.v2.0,-0.688347581,6.499313766,0.009504576,0.068650476,2.022067273,FALSE
2068,Migut.B00823.v2.0,-0.682220411,5.265096024,0.009533046,0.068778632,2.020768304,FALSE
16734,Migut.J00457.v2.0,0.443264665,7.057088125,0.009536563,0.068778632,2.02060812,FALSE
27596,Migut.O00437.v2.0,0.55972792,4.65994049,0.009610594,0.069260827,2.017249759,FALSE
14455,Migut.H01953.v2.0,-0.477560192,5.085488905,0.009626332,0.069281865,2.016539177,FALSE
2938,Migut.B01693.v2.0,0.456393746,6.762289761,0.009631394,0.069281865,2.016310862,FALSE
23250,Migut.M01506.v2.0,-0.568834077,5.689975313,0.00963724,0.069281865,2.016047343,FALSE
27135,Migut.N03352.v2.0,-0.830544644,5.268273414,0.00964221,0.069281865,2.015823392,FALSE
27321,Migut.O00162.v2.0,-0.728829608,5.668792357,0.009699574,0.069608333,2.013247335,FALSE
22640,Migut.M00896.v2.0,-0.597376051,5.990984457,0.009702062,0.069608333,2.013135937,FALSE
26089,Migut.N02306.v2.0,0.778447436,4.861948156,0.009727575,0.069739565,2.011995399,FALSE
10175,Migut.F01167.v2.0,-0.498243751,5.658920495,0.009788046,0.07012104,2.009303987,FALSE
774,Migut.A00774.v2.0,0.549270481,7.859037261,0.009797838,0.070139158,2.008869731,FALSE
22920,Migut.M01176.v2.0,-0.661571877,6.188239787,0.009808414,0.070140249,2.008401192,FALSE
18774,Migut.K00602.v2.0,0.891800054,5.564135042,0.009812517,0.070140249,2.008219579,FALSE
2570,Migut.B01325.v2.0,-0.818227242,5.692238121,0.00982802,0.070147995,2.007533954,FALSE
17446,Migut.J01169.v2.0,-0.52559447,5.771781737,0.009830604,0.070147995,2.007419785,FALSE
24654,Migut.N00871.v2.0,-0.623943105,5.105745564,0.009835393,0.070147995,2.007208302,FALSE
18912,Migut.K00740.v2.0,0.664855562,8.604429363,0.009871169,0.070351201,2.00563142,FALSE
21199,Migut.L01510.v2.0,0.442796997,6.57930877,0.00990622,0.070548939,2.004092053,FALSE
17221,Migut.J00944.v2.0,0.923064347,5.417518199,0.009919628,0.070592368,2.003504634,FALSE
26076,Migut.N02293.v2.0,0.670148576,8.342383761,0.009967739,0.070882512,2.00140336,FALSE
1082,Migut.A01082.v2.0,-0.554749051,5.272247395,0.009979392,0.07091316,2.000895933,FALSE
22863,Migut.M01119.v2.0,-0.734985421,4.959514835,0.009999306,0.071002427,2.000030126,FALSE
14438,Migut.H01936.v2.0,0.620683399,6.237274067,0.010018744,0.071088182,1.999186701,FALSE
367,Migut.A00367.v2.0,2.381050854,4.853999659,0.010028968,0.07109909,1.998743737,FALSE
5387,Migut.D00807.v2.0,0.841275125,3.968719132,0.010035007,0.07109909,1.998482336,FALSE
3940,Migut.C00772.v2.0,-0.876643844,4.375867356,0.010083691,0.071391646,1.996380468,FALSE
7787,Migut.E00608.v2.0,3.395791994,3.753466538,0.010106263,0.071499037,1.995409386,FALSE
18729,Migut.K00557.v2.0,0.70355571,6.618594572,0.01012165,0.071548423,1.994748684,FALSE
5270,Migut.D00690.v2.0,0.545448846,7.490781513,0.010128062,0.071548423,1.99447365,FALSE
5612,Migut.D01032.v2.0,-0.596077374,6.88661019,0.010151255,0.071654714,1.993480245,FALSE
19804,Migut.L00115.v2.0,-0.675576465,4.888424427,0.01017219,0.071654714,1.992585553,FALSE
14870,Migut.H02368.v2.0,-1.218002923,7.27818683,0.010174593,0.071654714,1.992482951,FALSE
24237,Migut.N00454.v2.0,0.992638415,7.11438906,0.010183451,0.071654714,1.992105039,FALSE
2519,Migut.B01274.v2.0,1.10189688,4.197191099,0.010184005,0.071654714,1.992081379,FALSE
1956,Migut.B00711.v2.0,0.513102729,7.201322884,0.010187628,0.071654714,1.991926925,FALSE
2993,Migut.B01748.v2.0,-0.539566536,7.911357074,0.01022077,0.071835502,1.990516366,FALSE
16794,Migut.J00517.v2.0,0.567936807,7.574712659,0.010239664,0.071915955,1.989714283,FALSE
17385,Migut.J01108.v2.0,-0.752119149,5.91011791,0.010282291,0.072162855,1.98791009,FALSE
18286,Migut.K00114.v2.0,0.662723347,8.267708766,0.010306133,0.072235279,1.986904256,FALSE
12624,Migut.H00122.v2.0,0.604936568,5.747402003,0.010307813,0.072235279,1.986833462,FALSE
12562,Migut.H00060.v2.0,0.535721433,5.507737993,0.010315051,0.072235279,1.986528611,FALSE
25696,Migut.N01913.v2.0,0.680905352,4.947443199,0.01035197,0.072441284,1.984977003,FALSE
7932,Migut.E00753.v2.0,-0.681709822,4.610094794,0.010422461,0.072881755,1.982029731,FALSE
17902,Migut.J01625.v2.0,0.485614164,6.26963109,0.010455711,0.073061362,1.980646424,FALSE
11640,Migut.G00490.v2.0,-0.594677775,5.92200092,0.010494246,0.073277608,1.979048765,FALSE
16799,Migut.J00522.v2.0,-1.393084429,4.547764337,0.010544095,0.073572492,1.976990677,FALSE
22399,Migut.M00655.v2.0,0.455322478,6.114270264,0.010556076,0.07360291,1.976497475,FALSE
16979,Migut.J00702.v2.0,0.419615598,6.50810096,0.01057361,0.073605831,1.975776705,FALSE
9932,Migut.F00924.v2.0,0.545261577,7.641251125,0.010574296,0.073605831,1.975748548,FALSE
21800,Migut.M00056.v2.0,0.457506312,7.288929486,0.010586544,0.073605831,1.975245814,FALSE
12660,Migut.H00158.v2.0,-0.648171634,4.301880034,0.010586983,0.073605831,1.975227768,FALSE
8304,Migut.E01125.v2.0,-1.229323341,5.964005345,0.010624815,0.073676167,1.973678616,FALSE
24506,Migut.N00723.v2.0,0.713360788,5.570100985,0.010625612,0.073676167,1.973646064,FALSE
4059,Migut.C00891.v2.0,0.456456909,6.420038688,0.010627326,0.073676167,1.973576011,FALSE
2768,Migut.B01523.v2.0,0.498780286,6.631136657,0.010627617,0.073676167,1.97356409,FALSE
4888,Migut.D00308.v2.0,-0.607538692,4.454754351,0.010725308,0.074300068,1.969590246,FALSE
19278,Migut.K01106.v2.0,1.503752169,4.24934749,0.010752408,0.074427146,1.968494268,FALSE
3100,Migut.B01855.v2.0,-0.865057065,4.910584422,0.010769481,0.074427146,1.96780523,FALSE
5429,Migut.D00849.v2.0,-0.515643852,8.168352743,0.010778602,0.074427146,1.967437574,FALSE
26193,Migut.N02410.v2.0,0.480882185,5.421767099,0.010782148,0.074427146,1.967294697,FALSE
9534,Migut.F00526.v2.0,-0.828749198,4.792453506,0.010782187,0.074427146,1.967293149,FALSE
15622,Migut.I00561.v2.0,0.67069489,4.518473709,0.01079565,0.074466849,1.966751218,FALSE
21297,Migut.L01608.v2.0,-0.745239312,5.043904361,0.010814363,0.074512098,1.965999062,FALSE
16106,Migut.I01045.v2.0,0.778843852,4.825926362,0.010817641,0.074512098,1.965867426,FALSE
24833,Migut.N01050.v2.0,0.408635939,7.653768081,0.010829007,0.074537224,1.965411348,FALSE
14221,Migut.H01719.v2.0,0.604860772,6.503688089,0.010848132,0.074615676,1.964645045,FALSE
25541,Migut.N01758.v2.0,2.289428544,4.873341784,0.010938269,0.07518211,1.961051397,FALSE
17611,Migut.J01334.v2.0,-0.485710984,9.038679505,0.010959343,0.075273383,1.960215478,FALSE
9161,Migut.F00153.v2.0,-1.104495811,6.684126982,0.010991099,0.075437843,1.958958869,FALSE
1964,Migut.B00719.v2.0,0.638806747,4.491898225,0.01104807,0.075744992,1.956713596,FALSE
16475,Migut.J00198.v2.0,1.183910296,4.166456587,0.011058705,0.075744992,1.956295723,FALSE
3399,Migut.C00231.v2.0,0.68267165,7.633583522,0.011074094,0.075744992,1.955691808,FALSE
16643,Migut.J00366.v2.0,1.633977759,7.483359991,0.011074829,0.075744992,1.955662955,FALSE
22016,Migut.M00272.v2.0,0.492871232,4.413463558,0.011086377,0.075744992,1.955210342,FALSE
20890,Migut.L01201.v2.0,0.540416726,4.910162337,0.011091858,0.075744992,1.954995698,FALSE
1287,Migut.B00042.v2.0,-0.568123243,5.049814615,0.011101631,0.075744992,1.954613207,FALSE
14017,Migut.H01515.v2.0,0.741459801,5.556896028,0.011102447,0.075744992,1.954581309,FALSE
24349,Migut.N00566.v2.0,-0.493407778,5.580352514,0.011107567,0.075744992,1.954381061,FALSE
5316,Migut.D00736.v2.0,0.512158475,5.927406148,0.011114285,0.075744992,1.954118456,FALSE
18233,Migut.K00061.v2.0,0.742264755,4.860401947,0.011132665,0.075816747,1.953400855,FALSE
16275,Migut.I01214.v2.0,-0.489893844,5.024595348,0.011165682,0.075958174,1.952114748,FALSE
25514,Migut.N01731.v2.0,-0.916447343,7.205415449,0.011169163,0.075958174,1.951979372,FALSE
16082,Migut.I01021.v2.0,0.892827521,5.213279364,0.011206793,0.076160448,1.950518664,FALSE
13790,Migut.H01288.v2.0,0.494209434,7.985544142,0.011239675,0.076299627,1.949246234,FALSE
21504,Migut.L01815.v2.0,0.467361945,7.835278375,0.011243074,0.076299627,1.949114916,FALSE
13614,Migut.H01112.v2.0,-0.675705554,5.901412192,0.011272353,0.076444603,1.947985414,FALSE
7562,Migut.E00383.v2.0,0.8835775,4.004909902,0.011302031,0.076592082,1.94684349,FALSE
24930,Migut.N01147.v2.0,0.649234238,4.743285463,0.01135452,0.076893828,1.944831224,FALSE
13327,Migut.H00825.v2.0,1.147664979,6.063515947,0.011370553,0.076948441,1.944218432,FALSE
4839,Migut.D00259.v2.0,-0.493011526,5.50164835,0.011380581,0.076962372,1.943835579,FALSE
24451,Migut.N00668.v2.0,0.471133495,7.435907139,0.011411717,0.077090245,1.94264902,FALSE
23977,Migut.N00194.v2.0,-0.501103748,5.790569113,0.011415455,0.077090245,1.942506766,FALSE
10562,Migut.F01554.v2.0,-0.606124614,4.520888655,0.011428112,0.077121785,1.942025526,FALSE
4087,Migut.C00919.v2.0,0.593673391,5.05122888,0.011449581,0.077212713,1.941210402,FALSE
4792,Migut.D00212.v2.0,-0.568779981,5.109635452,0.011467035,0.07727645,1.940548876,FALSE
7300,Migut.E00121.v2.0,-0.918835047,5.336999387,0.01151725,0.07756073,1.938651194,FALSE
15814,Migut.I00753.v2.0,-0.641319514,5.493419771,0.011545786,0.077656851,1.937576488,FALSE
9853,Migut.F00845.v2.0,0.446364345,6.188170877,0.011560007,0.077656851,1.937041905,FALSE
26515,Migut.N02732.v2.0,0.841322617,4.486193782,0.011561262,0.077656851,1.936994775,FALSE
26149,Migut.N02366.v2.0,-0.550148431,4.621846188,0.01156369,0.077656851,1.936903568,FALSE
18913,Migut.K00741.v2.0,0.857411767,4.870233609,0.011669976,0.078245926,1.932930048,FALSE
24800,Migut.N01017.v2.0,0.514769331,5.51411851,0.011672169,0.078245926,1.932848444,FALSE
12970,Migut.H00468.v2.0,0.724934726,4.664349521,0.011675715,0.078245926,1.932716517,FALSE
25708,Migut.N01925.v2.0,-1.248225437,7.082062036,0.011696522,0.078290513,1.931943248,FALSE
25598,Migut.N01815.v2.0,0.499586271,5.415701261,0.011704935,0.078290513,1.931630976,FALSE
2853,Migut.B01608.v2.0,0.714030652,5.493772417,0.011706689,0.078290513,1.931565901,FALSE
5266,Migut.D00686.v2.0,0.67428387,7.319448443,0.01174933,0.0785213,1.929986902,FALSE
11694,Migut.G00544.v2.0,0.707764883,4.987875627,0.011764057,0.078565349,1.929442897,FALSE
7265,Migut.E00086.v2.0,0.809879096,5.73513527,0.011792533,0.078659481,1.928392898,FALSE
4893,Migut.D00313.v2.0,0.968416782,4.182754905,0.011794442,0.078659481,1.928322592,FALSE
12716,Migut.H00214.v2.0,2.783701339,5.544837428,0.011802922,0.078661708,1.928010474,FALSE
7029,Migut.D02449.v2.0,0.561534052,6.34989217,0.011830697,0.078738618,1.926989667,FALSE
4444,Migut.C01276.v2.0,0.506744393,7.15481095,0.011830769,0.078738618,1.926987028,FALSE
18869,Migut.K00697.v2.0,-0.63768405,4.497165801,0.011869296,0.078914916,1.925575024,FALSE
18934,Migut.K00762.v2.0,0.684627093,5.210097946,0.011873602,0.078914916,1.925417518,FALSE
6173,Migut.D01593.v2.0,-0.58343096,4.83506178,0.011907797,0.079087756,1.924168569,FALSE
19945,Migut.L00256.v2.0,-0.986094858,5.433817046,0.011926561,0.079157941,1.923484749,FALSE
27389,Migut.O00230.v2.0,0.943871996,5.488907668,0.012018589,0.07971395,1.920146529,FALSE
15801,Migut.I00740.v2.0,0.434595086,7.162199851,0.0120309,0.079740835,1.919701901,FALSE
8513,Migut.E01334.v2.0,-0.439697876,5.056498304,0.012089603,0.080074961,1.917587974,FALSE
18354,Migut.K00182.v2.0,-0.817429583,4.571448657,0.012110829,0.080160575,1.916826113,FALSE
20409,Migut.L00720.v2.0,-0.827089482,4.730411848,0.012137739,0.080283661,1.915862209,FALSE
2692,Migut.B01447.v2.0,1.523119594,4.299820624,0.012158387,0.080365191,1.915124034,FALSE
7169,Migut.D02589.v2.0,-1.353717382,4.275646566,0.012180088,0.080453564,1.914349572,FALSE
1430,Migut.B00185.v2.0,0.697611497,7.44333419,0.012215613,0.080633066,1.913084734,FALSE
2339,Migut.B01094.v2.0,0.645753406,4.317314203,0.012224331,0.080635495,1.9127749,FALSE
25628,Migut.N01845.v2.0,-0.497999589,5.622923093,0.012260389,0.080763875,1.911495765,FALSE
11256,Migut.G00106.v2.0,0.889619355,4.791092569,0.01226052,0.080763875,1.911491113,FALSE
1498,Migut.B00253.v2.0,-0.496665656,5.846842303,0.012279289,0.080832372,1.910826794,FALSE
10872,Migut.F01864.v2.0,0.429414362,8.396010622,0.012323318,0.081014788,1.90927235,FALSE
9001,Migut.E01822.v2.0,-0.482211868,6.146649149,0.012323778,0.081014788,1.909256134,FALSE
23415,Migut.M01671.v2.0,0.468906973,6.731203407,0.012335253,0.081035062,1.908851925,FALSE
1348,Migut.B00103.v2.0,-0.614445388,6.524937873,0.012368627,0.081170892,1.907678494,FALSE
4030,Migut.C00862.v2.0,-0.494411558,5.802752068,0.01237274,0.081170892,1.907534105,FALSE
9563,Migut.F00555.v2.0,0.782094148,4.648505831,0.012400093,0.081295108,1.90657507,FALSE
27582,Migut.O00423.v2.0,0.658198006,5.366919596,0.012413462,0.081327547,1.906107075,FALSE
16130,Migut.I01069.v2.0,-0.702160438,4.611017774,0.012434772,0.08141193,1.905362163,FALSE
24847,Migut.N01064.v2.0,-1.105074251,7.076921634,0.012457505,0.081505504,1.904568938,FALSE
16660,Migut.J00383.v2.0,-0.663602843,4.156725651,0.012474051,0.081509147,1.903992501,FALSE
12217,Migut.G01067.v2.0,0.523617335,5.889476899,0.012474942,0.081509147,1.903961449,FALSE
20869,Migut.L01180.v2.0,0.525731788,5.780649134,0.012486061,0.081526632,1.903574557,FALSE
12711,Migut.H00209.v2.0,-0.518005449,4.424259957,0.012531905,0.081770681,1.901982902,FALSE
23405,Migut.M01661.v2.0,1.761746446,4.57217712,0.012553197,0.081854305,1.901245649,FALSE
22424,Migut.M00680.v2.0,2.262666367,4.341542864,0.012600961,0.082110309,1.899596341,FALSE
11782,Migut.G00632.v2.0,-0.832860695,4.275448373,0.012671494,0.08251424,1.897172176,FALSE
21767,Migut.M00023.v2.0,0.754490777,4.234608466,0.012733631,0.082862205,1.895047739,FALSE
11755,Migut.G00605.v2.0,0.517617885,6.152068034,0.012753118,0.082862205,1.894383636,FALSE
18166,Migut.J01889.v2.0,-1.124804612,4.045040575,0.012761836,0.082862205,1.894086841,FALSE
15987,Migut.I00926.v2.0,-0.770362313,4.150054658,0.012763097,0.082862205,1.894043926,FALSE
15989,Migut.I00928.v2.0,2.160873318,5.888497376,0.012767833,0.082862205,1.893882812,FALSE
13978,Migut.H01476.v2.0,-1.525867681,4.880412821,0.012781537,0.082895438,1.893416905,FALSE
3152,Migut.B01907.v2.0,1.089831681,5.015166256,0.012801515,0.082969282,1.89273863,FALSE
4969,Migut.D00389.v2.0,-0.831253034,6.644921755,0.012840916,0.083168827,1.891404009,FALSE
11187,Migut.G00037.v2.0,-0.462425092,5.353343951,0.012853399,0.08319388,1.890982027,FALSE
22706,Migut.M00962.v2.0,0.608730681,5.166099607,0.012891982,0.083387723,1.889680308,FALSE
20247,Migut.L00558.v2.0,-0.741680106,4.059895982,0.012916488,0.08349031,1.888855559,FALSE
22705,Migut.M00961.v2.0,-0.56748109,5.662064004,0.012930186,0.08352295,1.888395215,FALSE
1565,Migut.B00320.v2.0,-0.711990918,3.97845522,0.012944893,0.083559675,1.887901529,FALSE
6623,Migut.D02043.v2.0,0.713680108,5.76061542,0.012953177,0.083559675,1.887623688,FALSE
24832,Migut.N01049.v2.0,-0.50871361,7.975841703,0.012968268,0.083601177,1.887118026,FALSE
8275,Migut.E01096.v2.0,-0.6200964,4.868708011,0.013051919,0.084084308,1.884325643,FALSE
7111,Migut.D02531.v2.0,-0.661993547,4.154191688,0.013068105,0.084132459,1.883787389,FALSE
16519,Migut.J00242.v2.0,-0.614906458,4.724373166,0.013134279,0.084502155,1.881593753,FALSE
6718,Migut.D02138.v2.0,-0.845112389,8.06179734,0.013151297,0.084555311,1.88103141,FALSE
20272,Migut.L00583.v2.0,0.968323086,4.275915253,0.013196012,0.084786355,1.879557286,FALSE
3788,Migut.C00620.v2.0,0.691195055,6.667217587,0.013208041,0.084807215,1.879161594,FALSE
21614,Migut.L01925.v2.0,-0.487724937,5.980151979,0.013227718,0.084877123,1.87851508,FALSE
7412,Migut.E00233.v2.0,0.549381922,4.690049096,0.01324644,0.084932842,1.87790084,FALSE
3979,Migut.C00811.v2.0,-0.560545859,5.495539508,0.013253991,0.084932842,1.877653324,FALSE
2118,Migut.B00873.v2.0,0.950034882,4.117690264,0.01327723,0.085019979,1.876892513,FALSE
10049,Migut.F01041.v2.0,0.503812608,7.27696,0.013285197,0.085019979,1.876632,FALSE
20201,Migut.L00512.v2.0,-0.893543497,4.930937893,0.013320141,0.085187153,1.875491178,FALSE
10438,Migut.F01430.v2.0,-0.56337728,5.685851103,0.01335514,0.085354456,1.874351566,FALSE
12363,Migut.G01213.v2.0,2.004930098,3.800107583,0.013464393,0.085995796,1.870813219,FALSE
22394,Migut.M00650.v2.0,-0.460814919,5.407221602,0.013653654,0.087146954,1.864751094,FALSE
1094,Migut.A01094.v2.0,0.461446449,5.168153264,0.013698376,0.087374646,1.863330929,FALSE
26710,Migut.N02927.v2.0,0.446705442,5.580727083,0.013744134,0.087608647,1.861882627,FALSE
14745,Migut.H02243.v2.0,-0.453873881,5.469034505,0.013798366,0.087840516,1.860172336,FALSE
23483,Migut.M01739.v2.0,0.439033088,5.13418732,0.013798702,0.087840516,1.860161771,FALSE
23649,Migut.M01905.v2.0,-2.784272068,5.68124155,0.013877381,0.088283178,1.857692502,FALSE
21278,Migut.L01589.v2.0,-0.732028957,5.657462779,0.013909172,0.088338401,1.856698709,FALSE
13923,Migut.H01421.v2.0,-0.925860698,4.115394073,0.01391089,0.088338401,1.856645091,FALSE
638,Migut.A00638.v2.0,0.620383659,5.006811459,0.013913504,0.088338401,1.856563482,FALSE
19797,Migut.L00108.v2.0,-0.598957048,5.789371166,0.013952955,0.088477676,1.855333797,FALSE
25713,Migut.N01930.v2.0,0.457547325,5.626052276,0.013957385,0.088477676,1.855195956,FALSE
20284,Migut.L00595.v2.0,1.329235178,3.87321248,0.013968368,0.088477676,1.854854335,FALSE
14447,Migut.H01945.v2.0,-0.4250664,5.768269492,0.013972088,0.088477676,1.854738682,FALSE
10671,Migut.F01663.v2.0,-0.660651203,4.954021459,0.014069531,0.089036344,1.851720381,FALSE
17305,Migut.J01028.v2.0,1.43390001,4.788820756,0.014163676,0.089521349,1.848824007,FALSE
25279,Migut.N01496.v2.0,1.25913651,5.082567526,0.01416518,0.089521349,1.848777899,FALSE
12563,Migut.H00061.v2.0,0.865990903,5.401258173,0.014173982,0.089521349,1.848508129,FALSE
6078,Migut.D01498.v2.0,0.664017725,6.991887341,0.014213626,0.089713062,1.847295119,FALSE
23942,Migut.N00159.v2.0,0.647295449,6.158283559,0.014238646,0.08981228,1.846531318,FALSE
19093,Migut.K00921.v2.0,-0.964897947,4.001345361,0.014252094,0.089838427,1.846121326,FALSE
5987,Migut.D01407.v2.0,2.542181965,9.074869059,0.014295471,0.090053073,1.844801539,FALSE
16792,Migut.J00515.v2.0,0.502078615,4.610594863,0.014308357,0.090075489,1.844410242,FALSE
9762,Migut.F00754.v2.0,-0.761266652,5.298582158,0.014342882,0.090219445,1.843363583,FALSE
26678,Migut.N02895.v2.0,0.528935291,4.775498495,0.014349909,0.090219445,1.843150867,FALSE
