,genes,logFC,,PValue,FDR,log10p,sig
16177,Migut.I01116.v2.0,-5.581494589,6.302851404,3.14E-09,5.06E-07,8.502842054,TRUE
10284,Migut.F01276.v2.0,-2.740104875,6.709769192,4.26E-09,6.74E-07,8.371048519,TRUE
11271,Migut.G00121.v2.0,-2.014532058,4.642644663,4.40E-09,6.85E-07,8.356592201,TRUE
27966,Migut.O00807.v2.0,-1.772362916,5.490599225,5.40E-09,8.28E-07,8.267380987,TRUE
8455,Migut.E01276.v2.0,2.01879944,6.248883605,8.74E-09,1.32E-06,8.058457317,TRUE
25702,Migut.N01919.v2.0,-1.651180368,5.711555424,9.08E-09,1.35E-06,8.042035934,TRUE
14564,Migut.H02062.v2.0,1.701538026,6.660665509,1.08E-08,1.59E-06,7.965005368,TRUE
904,Migut.A00904.v2.0,1.84402698,6.838700983,1.17E-08,1.69E-06,7.931305648,TRUE
16389,Migut.J00112.v2.0,-1.84807447,5.3569627,1.20E-08,1.70E-06,7.92233589,TRUE
11535,Migut.G00385.v2.0,-1.646448738,10.73846999,1.30E-08,1.81E-06,7.887131392,TRUE
1834,Migut.B00589.v2.0,2.075660249,5.900023176,1.38E-08,1.90E-06,7.861025904,TRUE
27688,Migut.O00529.v2.0,-2.150951018,4.056242543,1.41E-08,1.92E-06,7.851213817,TRUE
9315,Migut.F00307.v2.0,-0.980220978,6.28950359,1.44E-08,1.92E-06,7.843127263,TRUE
25186,Migut.N01403.v2.0,-2.910453988,4.710970152,1.51E-08,1.99E-06,7.821920064,TRUE
8405,Migut.E01226.v2.0,-1.582679588,6.143316538,1.68E-08,2.20E-06,7.773601695,TRUE
7183,Migut.E00004.v2.0,-1.465892476,6.816916383,1.75E-08,2.25E-06,7.756869266,TRUE
8937,Migut.E01758.v2.0,4.112932738,4.931361547,1.80E-08,2.29E-06,7.74363425,TRUE
14353,Migut.H01851.v2.0,-2.225531499,5.739121864,1.96E-08,2.46E-06,7.707408295,TRUE
10964,Migut.F01956.v2.0,-2.043674973,5.110152791,1.98E-08,2.46E-06,7.702624009,TRUE
26456,Migut.N02673.v2.0,-1.340125156,4.758519962,2.46E-08,3.01E-06,7.608850271,TRUE
7328,Migut.E00149.v2.0,-1.478975886,7.667859629,2.55E-08,3.06E-06,7.593171364,TRUE
11210,Migut.G00060.v2.0,-1.647118348,3.991304759,2.57E-08,3.06E-06,7.590734459,TRUE
3340,Migut.C00172.v2.0,1.368899168,5.98764659,2.74E-08,3.23E-06,7.561972811,TRUE
8629,Migut.E01450.v2.0,-1.231580059,5.199131445,2.83E-08,3.29E-06,7.548566601,TRUE
25706,Migut.N01923.v2.0,-2.236119177,4.132207063,3.02E-08,3.46E-06,7.520608409,TRUE
19892,Migut.L00203.v2.0,-3.399695707,6.115599269,3.05E-08,3.46E-06,7.516099913,TRUE
5421,Migut.D00841.v2.0,-1.611874267,4.898105915,3.35E-08,3.76E-06,7.47491902,TRUE
15990,Migut.I00929.v2.0,1.398339937,4.86270549,4.01E-08,4.45E-06,7.396631116,TRUE
6790,Migut.D02210.v2.0,-1.337827831,5.96611749,4.25E-08,4.67E-06,7.371161331,TRUE
11909,Migut.G00759.v2.0,-2.078589395,7.065554074,4.54E-08,4.93E-06,7.342814814,TRUE
500,Migut.A00500.v2.0,-1.504538591,9.159904092,4.90E-08,5.26E-06,7.309577832,TRUE
17383,Migut.J01106.v2.0,1.646487115,9.001723899,5.55E-08,5.89E-06,7.25552527,TRUE
20499,Migut.L00810.v2.0,-1.826257381,4.618439329,6.40E-08,6.71E-06,7.194075922,TRUE
11122,Migut.F02114.v2.0,-1.867263146,5.447276724,6.77E-08,7.02E-06,7.169732046,TRUE
13832,Migut.H01330.v2.0,4.623996962,3.389032573,7.02E-08,7.21E-06,7.153879546,TRUE
2017,Migut.B00772.v2.0,4.808162331,5.354402903,7.31E-08,7.43E-06,7.136229764,TRUE
20609,Migut.L00920.v2.0,8.234104198,4.170148934,7.43E-08,7.47E-06,7.129022382,TRUE
16304,Migut.J00027.v2.0,-2.56879498,4.238102801,7.56E-08,7.53E-06,7.121482416,TRUE
15549,Migut.I00488.v2.0,-4.410038623,8.852788319,7.77E-08,7.66E-06,7.109643517,TRUE
16298,Migut.J00021.v2.0,-2.565021715,3.931590705,8.69E-08,8.48E-06,7.060821913,TRUE
8108,Migut.E00929.v2.0,1.78408092,6.108415379,1.02E-07,9.81E-06,6.993204204,TRUE
17719,Migut.J01442.v2.0,5.274047035,4.411352576,1.07E-07,1.02E-05,6.971043713,TRUE
14410,Migut.H01908.v2.0,2.522744406,4.517587891,1.19E-07,1.13E-05,6.924355452,TRUE
16165,Migut.I01104.v2.0,-6.978797335,3.541652961,1.59E-07,1.49E-05,6.798169723,TRUE
16213,Migut.I01152.v2.0,-2.052906145,5.124547665,1.66E-07,1.54E-05,6.779021978,TRUE
952,Migut.A00952.v2.0,-1.372267601,4.781244745,1.75E-07,1.61E-05,6.758047312,TRUE
18989,Migut.K00817.v2.0,2.12991395,5.920380908,1.81E-07,1.65E-05,6.741416789,TRUE
23003,Migut.M01259.v2.0,4.781981019,2.900959012,1.86E-07,1.68E-05,6.730258138,TRUE
23836,Migut.N00053.v2.0,2.697423349,4.27579133,1.95E-07,1.74E-05,6.710096113,TRUE
18703,Migut.K00531.v2.0,2.423986072,4.029470415,1.97E-07,1.74E-05,6.705837496,TRUE
1021,Migut.A01021.v2.0,-2.757141997,5.349032577,2.08E-07,1.83E-05,6.681004662,TRUE
4325,Migut.C01157.v2.0,1.82782212,6.876558901,2.21E-07,1.92E-05,6.656376667,TRUE
17079,Migut.J00802.v2.0,-2.554317019,4.303590858,2.24E-07,1.93E-05,6.649813433,TRUE
26324,Migut.N02541.v2.0,-1.427209269,7.509240605,2.43E-07,2.07E-05,6.614862166,TRUE
2133,Migut.B00888.v2.0,-1.83183746,5.896280304,2.72E-07,2.29E-05,6.564836956,TRUE
