,genes,logFC,logCPM,PValue,FDR,log10p,sig
2582,Migut.B01337.v2.0,-0.364809699,6.286529011,0.201331087,0.408886289,0.696089162,FALSE
19791,Migut.L00102.v2.0,0.770490159,5.549759479,0.201422722,0.40898638,0.69589154,FALSE
17182,Migut.J00905.v2.0,-0.2801578,5.711053553,0.201652029,0.409359127,0.695397404,FALSE
27378,Migut.O00219.v2.0,0.280546851,6.098585381,0.201707099,0.409359127,0.695278817,FALSE
8357,Migut.E01178.v2.0,1.12860827,6.936737228,0.201733466,0.409359127,0.695222049,FALSE
15402,Migut.I00341.v2.0,-0.265196921,7.435450908,0.201851937,0.409486577,0.694967078,FALSE
2986,Migut.B01741.v2.0,-0.257903676,5.609329603,0.20188108,0.409486577,0.69490438,FALSE
20588,Migut.L00899.v2.0,0.322794149,4.845617527,0.202052454,0.409748121,0.69453587,FALSE
4132,Migut.C00964.v2.0,-0.292577207,8.053120597,0.202102499,0.409763559,0.694428317,FALSE
5309,Migut.D00729.v2.0,-0.377759236,5.413782574,0.202193388,0.409861786,0.694233051,FALSE
16924,Migut.J00647.v2.0,0.492932224,7.263819885,0.202272768,0.409936647,0.694062581,FALSE
3927,Migut.C00759.v2.0,0.44583347,7.205376485,0.202406138,0.410120872,0.693776321,FALSE
17859,Migut.J01582.v2.0,0.370893965,6.441093357,0.202624943,0.410478094,0.693307095,FALSE
26220,Migut.N02437.v2.0,-0.324571717,5.578095544,0.202675802,0.410495012,0.6931981,FALSE
18304,Migut.K00132.v2.0,-0.22583894,6.665902971,0.202721114,0.410500691,0.693101016,FALSE
19826,Migut.L00137.v2.0,-0.352104814,5.057919899,0.20280353,0.410581486,0.69292449,FALSE
21102,Migut.L01413.v2.0,-0.390948453,6.254011099,0.202859157,0.410608023,0.692805384,FALSE
1013,Migut.A01013.v2.0,-0.319783023,5.926008213,0.203196829,0.411092065,0.692083075,FALSE
9014,Migut.F00006.v2.0,-0.391804906,4.194891296,0.203219084,0.411092065,0.692035511,FALSE
21056,Migut.L01367.v2.0,-0.39794696,4.991787488,0.203226004,0.411092065,0.692020722,FALSE
15152,Migut.I00091.v2.0,0.742774762,5.837010751,0.203305503,0.411148595,0.691850866,FALSE
5847,Migut.D01267.v2.0,0.295521514,4.6897983,0.2033391,0.411148595,0.691779102,FALSE
7353,Migut.E00174.v2.0,-0.510107314,4.279493518,0.203770681,0.411852718,0.690858304,FALSE
21478,Migut.L01789.v2.0,-0.267548299,7.436510899,0.20377263,0.411852718,0.69085415,FALSE
24226,Migut.N00443.v2.0,0.24272925,5.207887359,0.203899446,0.412022798,0.690583954,FALSE
18180,Migut.K00008.v2.0,-0.323493418,7.279030282,0.204189418,0.412522428,0.68996677,FALSE
25453,Migut.N01670.v2.0,-0.378559661,4.640981069,0.204244466,0.412537485,0.689849701,FALSE
2446,Migut.B01201.v2.0,0.292022301,4.479725574,0.204296307,0.412537485,0.689739483,FALSE
12433,Migut.G01283.v2.0,0.408053153,7.90815016,0.204325028,0.412537485,0.689678433,FALSE
7089,Migut.D02509.v2.0,1.236488694,3.659918189,0.204435417,0.412673142,0.689443864,FALSE
21678,Migut.L01989.v2.0,0.626581087,5.413901339,0.204514049,0.412673142,0.689276852,FALSE
4297,Migut.C01129.v2.0,0.359587079,5.478518352,0.204521561,0.412673142,0.689260902,FALSE
25260,Migut.N01477.v2.0,-0.266024599,7.222394542,0.204611578,0.412673142,0.689069796,FALSE
11299,Migut.G00149.v2.0,0.334973062,5.458901613,0.204635114,0.412673142,0.689019842,FALSE
18471,Migut.K00299.v2.0,0.731056854,4.350929776,0.204648615,0.412673142,0.688991189,FALSE
2337,Migut.B01092.v2.0,0.31461916,6.935288423,0.204762048,0.412815679,0.688750534,FALSE
