"","genes","logFC","logCPM","PValue","FDR"
"24217","Migut.N00434.v2.0",-1.67101709319007,6.11985332491841,2.65412729121428e-07,4.27181787520938e-05
"11122","Migut.F02114.v2.0",-1.93361154059926,5.44727672418955,2.70692507948837e-07,4.28537303157691e-05
"10022","Migut.F01014.v2.0",-1.46311470994945,7.04581833414146,2.95161668812432e-07,4.59738102535752e-05
"6384","Migut.D01804.v2.0",-2.30488830614176,7.71625226641169,3.08617683103141e-07,4.73066819956672e-05
"9459","Migut.F00451.v2.0",-1.36461640410344,5.72610447585716,3.19334961697406e-07,4.79669317842501e-05
"12308","Migut.G01158.v2.0",1.13462098947898,4.98466268767702,3.2285912457039e-07,4.79669317842501e-05
"27345","Migut.O00186.v2.0",1.35016112537193,5.52685507613618,3.47471081763813e-07,5.08413369180779e-05
"20910","Migut.L01221.v2.0",-1.21821268085025,7.04559801969247,3.99957539554604e-07,5.76476113355047e-05
"9912","Migut.F00904.v2.0",-2.3827576442276,4.68272162855233,4.236051333404e-07,5.96935643543143e-05
"24305","Migut.N00522.v2.0",1.2736505903263,4.75093255875427,4.26515060624178e-07,5.96935643543143e-05
"7879","Migut.E00700.v2.0",1.39267841377828,7.06407852507359,5.96095255205304e-07,8.17188549540648e-05
"9205","Migut.F00197.v2.0",-1.59727391155873,6.4780053708567,6.00811711891747e-07,8.17188549540648e-05
"17051","Migut.J00774.v2.0",1.66161253015994,4.90360540818461,6.32271034481513e-07,8.48033524998329e-05
"9467","Migut.F00459.v2.0",-2.99091012580209,4.5600587035557,6.7167169623831e-07,8.88538845284022e-05
"16299","Migut.J00022.v2.0",-1.18498138437718,6.60350250591955,7.93447598995352e-07,0.000103544911668893
"27755","Migut.O00596.v2.0",1.23925600670533,4.59324343096638,9.790753228496e-07,0.000125948609031921
"806","Migut.A00806.v2.0",-0.948891332120028,7.1647189025767,9.91207858178106e-07,0.000125948609031921
"25723","Migut.N01940.v2.0",1.25903788362108,5.4992711597655,1.03181984778396e-06,0.000129406289221425
"17383","Migut.J01106.v2.0",1.53531358043834,9.00172389941459,1.07106495471516e-06,0.000132606080354927
"1495","Migut.B00250.v2.0",-0.893471970940186,7.99543431635099,1.10268715478331e-06,0.000134793036123322
"3340","Migut.C00172.v2.0",1.25017416546226,5.98764658986653,1.12996346167701e-06,0.000136400714367686
"11116","Migut.F02108.v2.0",1.48466693432401,3.79104216654285,1.18814207417113e-06,0.000141652938398402
"20121","Migut.L00432.v2.0",-1.08428830013234,8.29880209369461,1.22038494100713e-06,0.000143722650918364
"16546","Migut.J00269.v2.0",-1.50405534260738,5.69407192134922,1.26334120044444e-06,0.000146988987622795
"2591","Migut.B01346.v2.0",-2.52700565339879,6.15005088878952,1.42623878976895e-06,0.000163336718458008
"25984","Migut.N02201.v2.0",-4.881744906523,3.80367092923893,1.43767433663982e-06,0.000163336718458008
"4125","Migut.C00957.v2.0",-1.04584241604928,6.02603587801467,1.51990396490579e-06,0.000168859834990328
"7816","Migut.E00637.v2.0",-0.951825658791651,7.31856322239468,1.53546778634187e-06,0.000168859834990328
"11204","Migut.G00054.v2.0",1.18926267844728,4.52063841659654,1.53874551922428e-06,0.000168859834990328
"26456","Migut.N02673.v2.0",-1.22625947948579,4.75851996239559,1.55794861884967e-06,0.00016904617766552
"4457","Migut.C01289.v2.0",6.2664207305699,4.14900576548911,1.57790482615448e-06,0.000169309187846375
"9759","Migut.F00751.v2.0",2.29581906157032,4.09912655994673,1.65645698125252e-06,0.000175784671076435
"16893","Migut.J00616.v2.0",-3.66997865230204,6.24982733976887,1.70088706372339e-06,0.000178012647617987
"24832","Migut.N01049.v2.0",-1.06772958197023,7.97584170280861,1.7143187561844e-06,0.000178012647617987
"16818","Migut.J00541.v2.0",-1.42880655462067,4.12934396766548,1.75140165317226e-06,0.000179928571964729
"7384","Migut.E00205.v2.0",-1.88591053600861,6.55903292041701,1.89461098591144e-06,0.000192592192536282
"11120","Migut.F02112.v2.0",1.30098650363736,5.09840199429935,1.94629482725202e-06,0.000195785095278883
"3050","Migut.B01805.v2.0",1.25123225278391,6.40972597969164,1.97616010277106e-06,0.000196739980540826
"20898","Migut.L01209.v2.0",1.0613379245477,4.90737551738031,2.02675453415484e-06,0.000199718046289116
"25158","Migut.N01375.v2.0",-2.10089209949516,5.2662778925258,2.08270885996433e-06,0.000203097173317397
"27434","Migut.O00275.v2.0",-0.95486074145929,6.45203795561181,2.10310834956402e-06,0.000203097173317397
"6177","Migut.D01597.v2.0",-2.15888217426999,6.8259775567771,2.20540754416122e-06,0.000210867531227375
"14537","Migut.H02035.v2.0",-1.01511132184813,8.72249876392434,2.36947485844234e-06,0.00022376799639082
"26021","Migut.N02238.v2.0",-1.36894599845069,5.81160283246118,2.40093090666844e-06,0.00022376799639082
"13962","Migut.H01460.v2.0",-1.57605497028894,6.85028920514498,2.40984484049345e-06,0.00022376799639082
"8480","Migut.E01301.v2.0",-1.02382072001459,6.354993756807,2.62122795348239e-06,0.000241078079493138
"22009","Migut.M00265.v2.0",-2.6101957766212,4.42009877409354,2.85436367562159e-06,0.000257590889943529
"14585","Migut.H02083.v2.0",-1.42344613869784,7.32718667034935,2.85656156722973e-06,0.000257590889943529
"11445","Migut.G00295.v2.0",-2.9401062559515,5.05030182059894,2.89466726838582e-06,0.000257590889943529
"7129","Migut.D02549.v2.0",-0.882604466932455,9.29713536667377,2.90746681203734e-06,0.000257590889943529
"6716","Migut.D02136.v2.0",-2.0702069423912,5.91982675097882,2.95501807478015e-06,0.000259423723165018
"7119","Migut.D02539.v2.0",4.91579656287638,4.75062828409656,3.25634052630058e-06,0.00028330162578815
"16983","Migut.J00706.v2.0",-1.47094719998578,4.41018334182196,3.36010352018613e-06,0.000289718925843192
"4353","Migut.C01185.v2.0",-2.04181375514402,9.50695202918959,3.67382294363417e-06,0.000312437933350021
"24991","Migut.N01208.v2.0",-2.41771273546169,6.3177608029925,3.68830117033264e-06,0.000312437933350021
"2603","Migut.B01358.v2.0",-1.63451624927233,4.16856861309276,3.73591347253686e-06,0.00031371927308077
"16389","Migut.J00112.v2.0",-1.59359132521774,5.35696270001896,3.77292096140279e-06,0.000314095670036782
"2394","Migut.B01149.v2.0",-1.46697190943071,6.25078343700542,4.28734652782312e-06,0.000353870986488785
"19180","Migut.K01008.v2.0",-1.33583833981834,5.9699932161936,4.47849986246194e-06,0.000365703934579894
"16540","Migut.J00263.v2.0",-2.57889337792425,3.64840827800074,4.51677065000673e-06,0.000365703934579894
"20276","Migut.L00587.v2.0",-1.2854959725432,6.07846086056654,4.54431729829008e-06,0.000365703934579894
"3927","Migut.C00759.v2.0",-1.60992402996241,7.20537648543855,4.65207232104372e-06,0.000371281507473712
"27322","Migut.O00163.v2.0",2.43436420018839,6.87407482783196,4.69454909301462e-06,0.000371600496649526
"13330","Migut.H00828.v2.0",-1.06602763409789,5.49200680353078,4.83304604506168e-06,0.000379453054123258
"20892","Migut.L01203.v2.0",-4.97365444423257,4.67249149350598,5.01299421293596e-06,0.00038572983754738
"22127","Migut.M00383.v2.0",1.61817388009834,4.85895032563644,5.02859994442981e-06,0.00038572983754738
"12618","Migut.H00116.v2.0",-1.39921393917136,6.56623186550891,5.03282173873562e-06,0.00038572983754738
"9262","Migut.F00254.v2.0",-1.67674917366914,4.96288267367517,5.41034150459932e-06,0.000411398959920596
"16515","Migut.J00238.v2.0",2.67547592335424,3.87927597376787,5.49142760298903e-06,0.000414302471578634
"7090","Migut.D02510.v2.0",-3.08722644100726,4.01404409874141,5.87880828776572e-06,0.000440090322751578
"26486","Migut.N02703.v2.0",-2.3309475962743,4.23142656226141,6.02158722849637e-06,0.000443871442721857
"24226","Migut.N00443.v2.0",0.849864968211158,5.20788735874634,6.06731806908041e-06,0.000443871442721857
"11462","Migut.G00312.v2.0",-1.5548724429207,4.91333321484182,6.08223361523402e-06,0.000443871442721857
"3834","Migut.C00666.v2.0",-1.33022127775005,4.15805248494494,6.11317198736739e-06,0.000443871442721857
"7641","Migut.E00462.v2.0",-1.04563221624641,5.77816538907163,6.21629945145771e-06,0.00044799107315468
"13996","Migut.H01494.v2.0",-3.65327674176558,4.95748024742344,6.34354549779345e-06,0.000453774954608824
"25886","Migut.N02103.v2.0",-1.22978816033738,5.2966118378978,7.08307691821088e-06,0.0005029505426409
"4333","Migut.C01165.v2.0",0.982302452662368,6.95776949744662,7.20291337963089e-06,0.000507726529248872
"16226","Migut.I01165.v2.0",1.35025858385229,4.07617922963146,7.52286637610003e-06,0.000526437105753609
"9798","Migut.F00790.v2.0",1.45589908827132,8.87069835325631,7.61874187968761e-06,0.00052931072181398
"20","Migut.A00020.v2.0",-1.5920695670431,4.93030331415631,7.75386852606675e-06,0.000534850773973047
"10102","Migut.F01094.v2.0",-1.58846109829525,4.94489758587238,7.85357645925057e-06,0.000535211027846854
"10440","Migut.F01432.v2.0",-1.48065992784082,4.57213127326286,7.86993537892236e-06,0.000535211027846854
"72","Migut.A00072.v2.0",-0.956523111547164,7.43934586566596,8.04533622067251e-06,0.000543313369811429
"6599","Migut.D02019.v2.0",-2.71309672143647,6.75820823033847,8.27548965702763e-06,0.000554975025124415
"21182","Migut.L01493.v2.0",1.26531053449003,4.65508601162113,8.38811007745691e-06,0.00055864813115863
"21808","Migut.M00064.v2.0",-1.37536437867199,5.08890389223306,8.51431452007391e-06,0.000563169420002423
"4535","Migut.C01367.v2.0",1.67020330011464,6.80097555927323,8.69562654440943e-06,0.000571249425437836
"6023","Migut.D01443.v2.0",7.48227480303099,4.5461838436966,9.01126624056444e-06,0.000578954944401381
"6888","Migut.D02308.v2.0",2.09548184003104,4.17666771337142,9.01762318712677e-06,0.000578954944401381
"16194","Migut.I01133.v2.0",-3.23670229708602,7.28740132847197,9.03582438789938e-06,0.000578954944401381
"22991","Migut.M01247.v2.0",-0.94553144884271,7.4163957913641,9.06719022022382e-06,0.000578954944401381
"5299","Migut.D00719.v2.0",1.08985403641819,5.65084616673169,9.11268008170342e-06,0.000578954944401381
"11909","Migut.G00759.v2.0",-1.83490453604408,7.06555407353269,9.35934080174631e-06,0.00059073956942787
"2102","Migut.B00857.v2.0",0.828532099500516,6.24943171033113,9.46801653882816e-06,0.000593718413736776
"27977","Migut.O00818.v2.0",1.4490418040563,4.12374462663657,1.00190496559482e-05,0.000624219113080591
"5552","Migut.D00972.v2.0",-3.73076037461964,7.11586160185559,1.03230774554069e-05,0.000638604686724212
"5283","Migut.D00703.v2.0",-0.97384863157917,5.49095598359203,1.03822031496014e-05,0.000638604686724212
"2944","Migut.B01699.v2.0",-1.6798741918398,4.14031210563104,1.07912361933984e-05,0.000659563088099038
"22844","Migut.M01100.v2.0",0.965649089200129,5.31383930235725,1.0963999795018e-05,0.000665907836606845
"6437","Migut.D01857.v2.0",-3.75786526073586,4.5144859642346,1.12591576102517e-05,0.000679560531513756
"5387","Migut.D00807.v2.0",1.53601763592047,3.96871913156425,1.1343255936284e-05,0.000680383991159593
"27318","Migut.O00159.v2.0",-1.29287338779694,5.06642027050461,1.16270660597302e-05,0.000693102326782804
"25698","Migut.N01915.v2.0",-1.26098551660112,6.0799464081343,1.18154679501405e-05,0.000699373129889881
"10108","Migut.F01100.v2.0",-1.14003472634476,6.87319565968092,1.18771039973015e-05,0.000699373129889881
"18658","Migut.K00486.v2.0",-2.66923376370297,7.88540340864087,1.21361660367777e-05,0.000710296699497951
"26851","Migut.N03068.v2.0",-1.81677093363518,5.27653730840606,1.23220688365003e-05,0.000713954399094612
"13168","Migut.H00666.v2.0",-0.858552412483209,6.25428230133478,1.23465242465362e-05,0.000713954399094612
"24941","Migut.N01158.v2.0",3.40316535406335,4.39592348124925,1.26700829707297e-05,0.000728159748896378
"8502","Migut.E01323.v2.0",1.8790896236639,4.09219774895404,1.27429841113687e-05,0.000728159748896378
"23879","Migut.N00096.v2.0",-0.996875537017728,5.78885332875495,1.41811645561316e-05,0.000805573565403309
"19905","Migut.L00216.v2.0",-0.950345680908655,6.40045769826274,1.46956328398077e-05,0.000829319075590767
"25885","Migut.N02102.v2.0",-1.10942319888758,5.36096037310426,1.47709310346497e-05,0.000829319075590767
"27071","Migut.N03288.v2.0",-1.14059650608428,5.96361014748187,1.49479600283892e-05,0.000832979916492398
"7554","Migut.E00375.v2.0",-1.3022415540723,5.98716866041385,1.50086471440072e-05,0.000832979916492398
"27451","Migut.O00292.v2.0",1.07938869479109,6.03096383145423,1.51737545311358e-05,0.000837331128612448
"26696","Migut.N02913.v2.0",1.1502486260246,9.01649987979098,1.58850570477004e-05,0.000871602249486606
"27","Migut.A00027.v2.0",-3.23028618065024,3.63993229074554,1.59955723832236e-05,0.000872707584772827
"12232","Migut.G01082.v2.0",-7.44261574430755,5.00101911639023,1.65810124388578e-05,0.000899566500685673
"17709","Migut.J01432.v2.0",-2.43462152376221,5.77582016286626,1.67757929635411e-05,0.000903119358255319
"4059","Migut.C00891.v2.0",-0.874159187678058,6.42003868783117,1.68335388304812e-05,0.000903119358255319
"11362","Migut.G00212.v2.0",-1.58830223129454,4.11097028564874,1.7305655715425e-05,0.00092331887980033
"12368","Migut.G01218.v2.0",-1.28526103997715,5.29732259279808,1.75653236114809e-05,0.000932023791846547
"25179","Migut.N01396.v2.0",-1.78504607893653,4.16431117463917,1.82819835155449e-05,0.00096474926125474
"21947","Migut.M00203.v2.0",2.72556611140026,5.26428303605418,1.90031502946747e-05,0.000997355556498227
"13978","Migut.H01476.v2.0",-2.99030346927089,4.88041282140168,1.94064326624277e-05,0.00101301578497872
"5430","Migut.D00850.v2.0",-1.01754780708412,7.40540815527259,1.96618559555227e-05,0.00102083087614238
"13167","Migut.H00665.v2.0",-1.4084718792011,7.3459821417243,1.99800032737842e-05,0.00103180155943815
"6279","Migut.D01699.v2.0",-1.11766805930217,6.53101208412036,2.08698388593521e-05,0.0010698112644712
"9175","Migut.F00167.v2.0",1.68637477329401,5.71355932181463,2.09375923149069e-05,0.0010698112644712
"19381","Migut.K01209.v2.0",-0.902913738988554,6.23377229814049,2.15716548498639e-05,0.00109640774150072
"22097","Migut.M00353.v2.0",2.74592097642661,4.56456676202785,2.18657673415529e-05,0.00110553777600721
"18852","Migut.K00680.v2.0",-1.16694142743649,8.55957848555705,2.24129738576282e-05,0.00112730254449539
"12978","Migut.H00476.v2.0",-1.61144841748017,5.24916952052305,2.33357927592635e-05,0.00116688412687773
"12179","Migut.G01029.v2.0",1.43754264008032,4.22162688980135,2.35237791978718e-05,0.00116688412687773
"12926","Migut.H00424.v2.0",-2.43421445461613,5.2815341975459,2.35624318878697e-05,0.00116688412687773
"26834","Migut.N03051.v2.0",-1.04901081669648,7.60964072861891,2.37262343887905e-05,0.00116743719169413
"16597","Migut.J00320.v2.0",-1.41524862794805,6.98775186281345,2.39105440288599e-05,0.00116743719169413
"23074","Migut.M01330.v2.0",1.62293927402464,4.24023819703055,2.4035989591681e-05,0.00116743719169413
"14237","Migut.H01735.v2.0",1.20361043736339,8.57677496377346,2.40571607276724e-05,0.00116743719169413
"1034","Migut.A01034.v2.0",1.17580149350094,5.84617252315718,2.51633615577127e-05,0.00121501291281416
"21901","Migut.M00157.v2.0",1.3116206047765,4.3516341274688,2.56159746543528e-05,0.00123016600549498
"7137","Migut.D02557.v2.0",7.66018613149632,2.79710234867272,2.57319595226247e-05,0.00123016600549498
"19901","Migut.L00212.v2.0",2.97189702752999,4.80996331504881,2.61574097967618e-05,0.00124434535176024
"7737","Migut.E00558.v2.0",0.818065356870555,5.74178878030986,2.7516440123313e-05,0.00130257971701389
"25260","Migut.N01477.v2.0",-0.894331927380146,7.2223945415768,2.7864579733343e-05,0.00131262559260924
"1121","Migut.A01121.v2.0",-1.00661039179474,5.66677244730486,2.80948404934385e-05,0.00131704793517056
"21469","Migut.L01780.v2.0",-0.980821407792384,7.66007349466361,2.93136441016953e-05,0.00136754522265735
"19854","Migut.L00165.v2.0",-0.961520084959112,5.37419862633759,2.96183154768114e-05,0.00137511573345946
"6081","Migut.D01501.v2.0",1.11589252723583,4.21358887709281,3.04572933258866e-05,0.0014073018260674
"24595","Migut.N00812.v2.0",1.31265255189223,7.32378331648129,3.06042461491419e-05,0.00140735811934411
"24897","Migut.N01114.v2.0",-1.04435832291729,10.5867371703747,3.17492836693011e-05,0.00145309399239072
"10676","Migut.F01668.v2.0",1.61749056747343,3.94156432795883,3.26935348289494e-05,0.00148431373182007
"1334","Migut.B00089.v2.0",-1.17532814697538,5.3798358756998,3.27388241563295e-05,0.00148431373182007
"2313","Migut.B01068.v2.0",1.05666732093059,3.90447844838784,3.29502701829297e-05,0.00148691943531099
"10486","Migut.F01478.v2.0",-1.44601593259759,7.3904055153026,3.43741607048939e-05,0.00154395939501005
"19698","Migut.L00009.v2.0",-2.10011465417335,4.44099297036201,3.51485004052722e-05,0.00157143087228571
"4913","Migut.D00333.v2.0",-1.0201813156832,5.43639187444134,3.57917694278921e-05,0.00159281620905601
"1157","Migut.A01157.v2.0",-2.50035055426726,6.99214318111176,3.66449306441032e-05,0.00162330318912892
"26596","Migut.N02813.v2.0",-1.22314830364433,4.16435855063698,3.74324743359471e-05,0.00165061828612896
"23177","Migut.M01433.v2.0",-0.94299385015011,6.68527330825214,3.88582943899044e-05,0.00169850406225765
"14651","Migut.H02149.v2.0",-1.16510871922133,5.52162642628629,3.88701871967423e-05,0.00169850406225765
"25695","Migut.N01912.v2.0",-1.45570809492163,5.20557935994642,4.03463343359503e-05,0.00175506554361384
"5883","Migut.D01303.v2.0",-1.06827311014532,5.0905721995096,4.10858769731549e-05,0.00177010114442173
"18693","Migut.K00521.v2.0",-0.914036836640746,4.58907601579916,4.11228776900837e-05,0.00177010114442173
"2211","Migut.B00966.v2.0",1.10744515280469,4.81037204744931,4.12418719576359e-05,0.00177010114442173
"21404","Migut.L01715.v2.0",1.52225169175906,3.70792344889508,4.16574853273088e-05,0.00178002803453903
"24633","Migut.N00850.v2.0",-0.992324203893708,5.49026727963107,4.20933053973629e-05,0.00179072709349046
"10849","Migut.F01841.v2.0",0.801579133368006,5.60748767377553,4.27001970996035e-05,0.00180857808504768
"12467","Migut.G01317.v2.0",-0.797548900948934,8.11486478707281,4.2914825931131e-05,0.00180973132758486
"24826","Migut.N01043.v2.0",-0.744750812895727,8.95881750834069,4.31815371929107e-05,0.0018130613246606
"11121","Migut.F02113.v2.0",-1.11128928002202,7.71268120239694,4.36618717497776e-05,0.00182529305405888
"20282","Migut.L00593.v2.0",1.17537542949392,5.11297358816164,4.38971057732438e-05,0.00182721702781127
"5429","Migut.D00849.v2.0",-0.894847649559737,8.16835274293555,4.42047646891889e-05,0.00183212623434977
"12196","Migut.G01046.v2.0",7.38062258569628,3.91925134684476,4.45281843558706e-05,0.00183764391591728
"12839","Migut.H00337.v2.0",-1.40200873094242,5.13871989613484,4.55590018997139e-05,0.00187218417593846
"17616","Migut.J01339.v2.0",-1.60017767049836,3.72207786941995,4.67270020507205e-05,0.00191204516442291
"7620","Migut.E00441.v2.0",-0.832585996686907,8.08863419301816,4.75546472314283e-05,0.00193770138529073
"7239","Migut.E00060.v2.0",-1.20452533080007,5.90882460679479,4.79827575690156e-05,0.00194254646275205
"20271","Migut.L00582.v2.0",-0.856546945634763,5.97972830868013,4.80758625450699e-05,0.00194254646275205
"401","Migut.A00401.v2.0",-1.00535210666389,8.17197741168481,4.97769423719754e-05,0.00200289971869236
"15443","Migut.I00382.v2.0",1.19246512751979,4.14465178003698,5.02392174260728e-05,0.00200622835962201
"13387","Migut.H00885.v2.0",3.35219833708652,4.6463017812841,5.0348669209072e-05,0.00200622835962201
"22032","Migut.M00288.v2.0",1.51111471674737,5.17792190028397,5.04829130566583e-05,0.00200622835962201
"7572","Migut.E00393.v2.0",1.32092562620467,4.17151782616113,5.16199041614517e-05,0.00204300579707844
"13832","Migut.H01330.v2.0",3.3201485772253,3.38903257254909,5.81249943290123e-05,0.00229107375606233
"26770","Migut.N02987.v2.0",-1.48372964238474,6.65531125700631,5.90975939377966e-05,0.00231576127621133
"1958","Migut.B00713.v2.0",-2.16120945929686,4.75036326387073,5.92309242232782e-05,0.00231576127621133
"9208","Migut.F00200.v2.0",-1.02840764333145,5.44022451980874,6.00116913719372e-05,0.00233682622410805
"24859","Migut.N01076.v2.0",1.42841685999123,6.3621111016555,6.13899006222821e-05,0.00238089265184489
"9052","Migut.F00044.v2.0",1.73022412391885,5.66993069320771,6.19310579133218e-05,0.0023922729050758
"6620","Migut.D02040.v2.0",-1.64340934581781,5.17584279210154,6.2242233373665e-05,0.00239471413422105
"12581","Migut.H00079.v2.0",-1.03363606590699,8.68557858764711,6.29059272791509e-05,0.00241064499894746
"1575","Migut.B00330.v2.0",-0.814342926047794,10.1005889186934,6.32211612960102e-05,0.00241314922780858
"245","Migut.A00245.v2.0",-0.734983582739987,5.00230169299722,6.44104239002822e-05,0.00244886402994105
"25170","Migut.N01387.v2.0",-1.06076540800309,5.31649980507352,6.55220118957268e-05,0.00248135713285111
"18548","Migut.K00376.v2.0",-1.08678137770042,8.10648001171298,6.63238663917063e-05,0.00249884797688489
"23638","Migut.M01894.v2.0",-1.28510656606245,7.41644769787543,6.65013907071986e-05,0.00249884797688489
