"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"11","Migut.A00011.v2.0",659,532,69,445,669,495,230,689,4423,215,6117,378,1268,380,232,948,591,203,289,512,35,756
"12","Migut.A00012.v2.0",262,381,30,353,150,77,103,172,1301,35,1387,182,529,222,221,112,161,83,93,241,32,339
"13","Migut.A00013.v2.0",171,328,16,338,60,296,263,382,515,27,1438,145,422,284,223,140,106,66,68,92,9,114
"14","Migut.A00014.v2.0",406,449,75,244,131,193,187,371,1394,56,1854,292,769,220,261,255,279,159,147,441,33,544
"15","Migut.A00015.v2.0",521,505,53,242,385,402,314,549,2467,120,3214,273,774,241,215,377,341,138,196,533,31,394
"16","Migut.A00016.v2.0",452,607,106,157,57,267,112,438,1011,48,1092,190,958,259,418,274,317,175,138,343,25,489
"17","Migut.A00017.v2.0",62,81,2,38,51,47,34,85,268,11,468,42,88,32,40,68,37,11,36,61,2,75
"18","Migut.A00018.v2.0",48,40,4,37,101,45,46,123,465,27,987,16,75,14,29,47,27,13,19,72,1,76
"19","Migut.A00019.v2.0",38,19,3,15,31,15,15,36,311,26,193,27,82,19,23,34,26,29,36,75,7,88
"20","Migut.A00020.v2.0",216,321,33,148,126,29,45,84,623,5,956,192,471,117,157,152,205,112,72,335,13,379
"21","Migut.A00021.v2.0",96,92,9,29,57,52,24,86,488,22,555,44,105,47,46,40,48,31,35,59,1,82
"22","Migut.A00022.v2.0",416,394,38,207,250,204,179,431,1244,45,2322,238,639,214,213,225,223,109,112,269,19,464
"23","Migut.A00023.v2.0",158,128,11,100,185,67,42,96,877,33,1219,85,215,67,83,82,86,43,34,140,11,233
"24","Migut.A00024.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Migut.A00025.v2.0",3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"26","Migut.A00026.v2.0",1,1,0,0,9,0,1,1,18,0,58,0,0,1,3,0,0,0,0,3,0,7
"27","Migut.A00027.v2.0",52,67,6,94,9,11,36,29,68,5,124,77,319,55,119,32,50,25,40,186,7,191
"28","Migut.A00028.v2.0",360,388,60,136,379,196,178,344,2102,95,3008,200,562,164,208,213,243,120,167,478,21,399
