,genes,logFC,logCPM,PValue,FDR,log10p,sig
14265,Migut.H01763.v2.0,0.664974853,4.209279314,0.221215707,0.412170573,0.655184041,FALSE
1979,Migut.B00734.v2.0,0.232342166,6.523859227,0.221350961,0.412343023,0.654918588,FALSE
11906,Migut.G00756.v2.0,-0.274054058,8.5147816,0.221458853,0.412464445,0.654706953,FALSE
3784,Migut.C00616.v2.0,0.270711839,6.899977856,0.221560311,0.412573837,0.654508035,FALSE
24172,Migut.N00389.v2.0,0.276089124,6.715824549,0.221665625,0.412690368,0.654301651,FALSE
7606,Migut.E00427.v2.0,-0.457155667,5.738638037,0.222032642,0.413293991,0.653583173,FALSE
20272,Migut.L00583.v2.0,-0.519208083,4.275915253,0.222201247,0.413453144,0.653253508,FALSE
15825,Migut.I00764.v2.0,0.238817406,10.37916904,0.222275806,0.413453144,0.653107806,FALSE
25939,Migut.N02156.v2.0,-0.330697512,5.886817247,0.222309905,0.413453144,0.653041188,FALSE
4317,Migut.C01149.v2.0,0.399474283,4.36086336,0.222322765,0.413453144,0.653016066,FALSE
23510,Migut.M01766.v2.0,-0.20858046,6.739667626,0.222332213,0.413453144,0.65299761,FALSE
21903,Migut.M00159.v2.0,-0.837398336,4.759687022,0.222459564,0.413533679,0.652748918,FALSE
25886,Migut.N02103.v2.0,-0.306692338,5.296611838,0.222461164,0.413533679,0.652745795,FALSE
23449,Migut.M01705.v2.0,-0.270569841,4.611091277,0.222511358,0.41354738,0.652647816,FALSE
14375,Migut.H01873.v2.0,-0.591396005,6.385855239,0.222590092,0.413587058,0.652494172,FALSE
5445,Migut.D00865.v2.0,0.472607223,6.011518603,0.222724076,0.413587058,0.652232834,FALSE
14342,Migut.H01840.v2.0,0.309687127,5.038114558,0.222752178,0.413587058,0.652178041,FALSE
19972,Migut.L00283.v2.0,-0.343844011,5.789820021,0.222804488,0.413587058,0.652076066,FALSE
12912,Migut.H00410.v2.0,0.212875215,7.487144072,0.22282638,0.413587058,0.652033394,FALSE
4346,Migut.C01178.v2.0,0.216973831,4.450579614,0.222831715,0.413587058,0.652022997,FALSE
1405,Migut.B00160.v2.0,0.281217466,7.0676195,0.222886782,0.413587058,0.651915686,FALSE
9236,Migut.F00228.v2.0,0.367089239,6.668005743,0.222918312,0.413587058,0.651854255,FALSE
4524,Migut.C01356.v2.0,0.276734324,5.819643439,0.222937501,0.413587058,0.651816871,FALSE
6911,Migut.D02331.v2.0,-0.407988108,5.38503386,0.222960984,0.413587058,0.651771127,FALSE
17203,Migut.J00926.v2.0,0.350453331,4.657406806,0.2230176,0.41361263,0.651660862,FALSE
8633,Migut.E01454.v2.0,0.282919849,6.620381545,0.223140001,0.413705529,0.651422569,FALSE
2394,Migut.B01149.v2.0,-0.355001608,6.250783437,0.223203352,0.413705529,0.651299287,FALSE
2905,Migut.B01660.v2.0,-0.22758184,6.767884003,0.223279756,0.413705529,0.651150651,FALSE
26077,Migut.N02294.v2.0,-0.26821677,4.813334267,0.223282309,0.413705529,0.651145686,FALSE
26534,Migut.N02751.v2.0,-0.540644476,4.736843587,0.223387913,0.413705529,0.650940329,FALSE
11129,Migut.F02121.v2.0,0.27447751,6.676371188,0.223390098,0.413705529,0.650936082,FALSE
9306,Migut.F00298.v2.0,-0.289134485,5.172796991,0.223408583,0.413705529,0.650900147,FALSE
9786,Migut.F00778.v2.0,-0.324469476,5.650102174,0.22341041,0.413705529,0.650896594,FALSE
1603,Migut.B00358.v2.0,0.23264448,4.525827841,0.223563713,0.41383841,0.650598686,FALSE
19542,Migut.K01370.v2.0,0.212028618,6.772701466,0.223567877,0.41383841,0.650590597,FALSE
8737,Migut.E01558.v2.0,-0.237194166,6.734939711,0.22362097,0.413857361,0.650487473,FALSE
25703,Migut.N01920.v2.0,0.268923045,5.111714827,0.22378661,0.414084554,0.650165903,FALSE
22896,Migut.M01152.v2.0,-0.60119613,5.922764469,0.22395684,0.414320154,0.649835669,FALSE
11659,Migut.G00509.v2.0,0.285095359,5.943161509,0.224183844,0.414660675,0.649395688,FALSE
12707,Migut.H00205.v2.0,0.232902845,8.187911138,0.224372743,0.414930597,0.649029903,FALSE
11067,Migut.F02059.v2.0,0.317940565,6.466696142,0.224556061,0.415190098,0.648675218,FALSE
4830,Migut.D00250.v2.0,-0.253522384,6.792517288,0.224748024,0.415330759,0.648304119,FALSE
18571,Migut.K00399.v2.0,0.332011703,7.096051678,0.224756545,0.415330759,0.648287652,FALSE
27792,Migut.O00633.v2.0,0.544196741,5.743409446,0.224761162,0.415330759,0.648278731,FALSE
9094,Migut.F00086.v2.0,0.306400641,4.816602445,0.224842058,0.415400757,0.648122448,FALSE
24463,Migut.N00680.v2.0,-0.277407862,5.940047723,0.225121047,0.41583664,0.6475839,FALSE
14145,Migut.H01643.v2.0,0.219310502,6.428749289,0.225350377,0.416180644,0.647141712,FALSE
4623,Migut.D00043.v2.0,-0.300200718,4.983281361,0.225600853,0.416563563,0.646659264,FALSE
18614,Migut.K00442.v2.0,-0.446081664,6.907103779,0.225767059,0.416784137,0.646339425,FALSE
13634,Migut.H01132.v2.0,-0.313507342,7.035377557,0.225806628,0.416784137,0.646263315,FALSE
16891,Migut.J00614.v2.0,-0.261941791,7.883367007,0.226130051,0.417301339,0.645641719,FALSE
4892,Migut.D00312.v2.0,-0.247700167,6.166674787,0.226211701,0.417353603,0.645484934,FALSE
20392,Migut.L00703.v2.0,-0.308711006,4.56188643,0.226244808,0.417353603,0.645421378,FALSE
23707,Migut.M01963.v2.0,0.477448714,5.110844544,0.226339331,0.417448227,0.645239972,FALSE
19700,Migut.L00011.v2.0,-0.282511603,5.285524091,0.226407142,0.417493559,0.645109878,FALSE
4535,Migut.C01367.v2.0,0.437276358,6.800975559,0.226467299,0.417524762,0.6449945,FALSE
7434,Migut.E00255.v2.0,-0.285997451,6.489909246,0.226626856,0.417739176,0.644688627,FALSE
17113,Migut.J00836.v2.0,0.396638644,4.070806368,0.226695414,0.417785804,0.644557266,FALSE
21238,Migut.L01549.v2.0,-0.249560485,5.43427558,0.226915315,0.418111276,0.644136192,FALSE
10528,Migut.F01520.v2.0,0.253853627,5.416210195,0.227325472,0.41878712,0.643351899,FALSE
10047,Migut.F01039.v2.0,-0.728785348,5.893491609,0.227539408,0.419063647,0.642943376,FALSE
5591,Migut.D01011.v2.0,0.228495872,5.15455178,0.227565551,0.419063647,0.642893481,FALSE
1096,Migut.A01096.v2.0,-0.352194566,4.808052462,0.22760576,0.419063647,0.642816751,FALSE
12526,Migut.H00024.v2.0,0.460566235,4.630674034,0.227743826,0.419161556,0.642553389,FALSE
1664,Migut.B00419.v2.0,-0.376466505,4.285016878,0.227750534,0.419161556,0.642540597,FALSE
21817,Migut.M00073.v2.0,0.233636507,5.35340011,0.227789152,0.419161556,0.642466961,FALSE
21469,Migut.L01780.v2.0,0.25188724,7.660073495,0.227930026,0.419340876,0.642198461,FALSE
6027,Migut.D01447.v2.0,-0.211017769,5.069047255,0.228149164,0.419664091,0.641781118,FALSE
16337,Migut.J00060.v2.0,0.23593932,5.392348369,0.228261904,0.419791507,0.641566565,FALSE
13625,Migut.H01123.v2.0,0.328187067,5.368722804,0.228484906,0.420121618,0.641142484,FALSE
12683,Migut.H00181.v2.0,0.250944437,4.392067974,0.228559698,0.420179136,0.641000347,FALSE
21898,Migut.M00154.v2.0,-0.380996117,4.828954435,0.228622841,0.420215222,0.640880383,FALSE
12818,Migut.H00316.v2.0,0.30700429,5.659382817,0.229185319,0.421168912,0.639813205,FALSE
5653,Migut.D01073.v2.0,-0.2307439,6.042373962,0.229536895,0.42173474,0.639147498,FALSE
6861,Migut.D02281.v2.0,-0.353445537,4.48594422,0.229697415,0.421949388,0.638843893,FALSE
486,Migut.A00486.v2.0,-0.290409245,4.89647817,0.229759739,0.421983606,0.638726071,FALSE
7431,Migut.E00252.v2.0,-0.413011192,4.287426251,0.229943188,0.422209216,0.638379451,FALSE
21439,Migut.L01750.v2.0,-0.489656917,4.827433699,0.229970019,0.422209216,0.638328779,FALSE
10089,Migut.F01081.v2.0,0.209957334,6.71843222,0.230062271,0.422298299,0.638154598,FALSE
2516,Migut.B01271.v2.0,-0.297896331,6.857994625,0.230188953,0.422450536,0.637915522,FALSE
11275,Migut.G00125.v2.0,-0.598177043,3.790703966,0.230304689,0.422527395,0.63769722,FALSE
14430,Migut.H01928.v2.0,-0.487462865,4.224475372,0.23031834,0.422527395,0.637671479,FALSE
23815,Migut.N00032.v2.0,-0.465850741,4.715385852,0.230377122,0.42255496,0.637560652,FALSE
17658,Migut.J01381.v2.0,-0.446317085,7.86420483,0.230545868,0.422784172,0.637242657,FALSE
16392,Migut.J00115.v2.0,0.538717309,5.894685243,0.230594761,0.422785161,0.637150564,FALSE
11148,Migut.F02140.v2.0,0.373835167,4.970351199,0.230665546,0.422785161,0.637017271,FALSE
13614,Migut.H01112.v2.0,-0.321814033,5.901412192,0.230729183,0.422785161,0.636897472,FALSE
14378,Migut.H01876.v2.0,0.606165216,3.94552232,0.230761385,0.422785161,0.636836863,FALSE
25501,Migut.N01718.v2.0,-0.317151939,5.116111154,0.230765308,0.422785161,0.63682948,FALSE
21888,Migut.M00144.v2.0,-0.378092905,5.576066199,0.230818683,0.422802736,0.636729041,FALSE
7756,Migut.E00577.v2.0,-0.330788354,6.77470269,0.231137279,0.423306032,0.636130003,FALSE
16779,Migut.J00502.v2.0,0.48191759,4.092194853,0.231305878,0.423512585,0.635813331,FALSE
14752,Migut.H02250.v2.0,-0.629697056,4.355719618,0.231346945,0.423512585,0.635736231,FALSE
11876,Migut.G00726.v2.0,-0.366366379,7.282216239,0.23138163,0.423512585,0.635671124,FALSE
2776,Migut.B01531.v2.0,-0.313162791,5.786597749,0.231514095,0.423569705,0.635422563,FALSE
20206,Migut.L00517.v2.0,0.292907811,7.624020817,0.231529458,0.423569705,0.635393745,FALSE
22623,Migut.M00879.v2.0,-0.281312615,4.689225459,0.231544421,0.423569705,0.635365679,FALSE
5262,Migut.D00682.v2.0,-0.557529734,5.200005209,0.231823293,0.423999535,0.634842929,FALSE
14591,Migut.H02089.v2.0,-0.302109977,4.887223462,0.232015396,0.424221298,0.634483195,FALSE
16014,Migut.I00953.v2.0,-0.269271006,5.871347746,0.232032401,0.424221298,0.634451366,FALSE
20896,Migut.L01207.v2.0,-0.28245694,6.267278782,0.232180365,0.42435222,0.63417451,FALSE
20387,Migut.L00698.v2.0,-0.47363123,4.02629643,0.232191895,0.42435222,0.634152944,FALSE
2240,Migut.B00995.v2.0,-0.343754482,4.334669328,0.232300924,0.424471148,0.633949064,FALSE
16351,Migut.J00074.v2.0,-0.323402733,5.96303762,0.232525161,0.424800507,0.633530046,FALSE
5879,Migut.D01299.v2.0,-0.387283381,5.002226139,0.232630339,0.424912272,0.633333647,FALSE
2790,Migut.B01545.v2.0,0.307884268,5.974521146,0.232842582,0.425219519,0.632937593,FALSE
24694,Migut.N00911.v2.0,0.944764112,3.565655983,0.23308227,0.425576759,0.632490762,FALSE
26411,Migut.N02628.v2.0,-0.389600569,4.867589667,0.233329655,0.425853586,0.632030061,FALSE
3767,Migut.C00599.v2.0,0.321109619,5.175880183,0.233345787,0.425853586,0.632000037,FALSE
16939,Migut.J00662.v2.0,0.336547863,5.006884822,0.233366178,0.425853586,0.631962087,FALSE
8374,Migut.E01195.v2.0,-0.339697785,5.932988471,0.233424452,0.42587945,0.631853653,FALSE
22689,Migut.M00945.v2.0,0.337402399,4.138673047,0.233890006,0.426602552,0.630988334,FALSE
1144,Migut.A01144.v2.0,0.369906256,4.20030221,0.233909135,0.426602552,0.630952818,FALSE
9426,Migut.F00418.v2.0,-0.247143322,5.609585363,0.233991462,0.426672121,0.630799989,FALSE
16206,Migut.I01145.v2.0,-0.204665717,8.218211155,0.234051551,0.426701119,0.630688476,FALSE
361,Migut.A00361.v2.0,0.292517473,5.301156432,0.234107223,0.426704406,0.630585187,FALSE
3014,Migut.B01769.v2.0,0.344823914,5.152529817,0.234141726,0.426704406,0.630521184,FALSE
12876,Migut.H00374.v2.0,-0.579798912,3.973946614,0.234186222,0.42670497,0.63043866,FALSE
21748,Migut.M00004.v2.0,0.279803443,5.049766043,0.234299222,0.426742546,0.630229154,FALSE
27542,Migut.O00383.v2.0,-0.386327015,5.067621828,0.234307823,0.426742546,0.630213211,FALSE
6762,Migut.D02182.v2.0,-0.348328917,4.365968417,0.234339414,0.426742546,0.630154661,FALSE
24584,Migut.N00801.v2.0,-0.276953858,5.254798394,0.234480086,0.426918211,0.629894035,FALSE
18613,Migut.K00441.v2.0,0.429940321,4.658473786,0.234720828,0.427275973,0.629448371,FALSE
26555,Migut.N02772.v2.0,-1.021717645,4.313009923,0.234780743,0.427304493,0.629337527,FALSE
17225,Migut.J00948.v2.0,-0.516545455,8.157311199,0.234921398,0.427466296,0.629077423,FALSE
25515,Migut.N01732.v2.0,-0.377176199,4.445076062,0.235038008,0.427466296,0.628861902,FALSE
11286,Migut.G00136.v2.0,0.243276468,6.716235895,0.235043644,0.427466296,0.628851488,FALSE
6819,Migut.D02239.v2.0,-0.417238205,5.689114217,0.235066779,0.427466296,0.628808744,FALSE
20136,Migut.L00447.v2.0,0.219295061,8.072247431,0.23509097,0.427466296,0.628764052,FALSE
11215,Migut.G00065.v2.0,0.310709581,5.251908978,0.235182932,0.427514284,0.628594199,FALSE
25170,Migut.N01387.v2.0,-0.288811951,5.316499805,0.235205902,0.427514284,0.628551785,FALSE
9240,Migut.F00232.v2.0,0.282952484,6.603289324,0.235300565,0.427605863,0.62837703,FALSE
27159,Migut.N03376.v2.0,-0.525019496,5.215892473,0.235386387,0.427681343,0.628218657,FALSE
9620,Migut.F00612.v2.0,0.430074935,4.287606001,0.235433589,0.427686639,0.628131576,FALSE
24895,Migut.N01112.v2.0,0.267827641,6.201016275,0.235575012,0.427850303,0.627870778,FALSE
7462,Migut.E00283.v2.0,0.894480626,4.992397521,0.235645654,0.427850303,0.627740565,FALSE
23206,Migut.M01462.v2.0,0.282382814,5.042748472,0.235656598,0.427850303,0.627720397,FALSE
20673,Migut.L00984.v2.0,-0.314752721,6.140546979,0.235875336,0.428099394,0.627317469,FALSE
300,Migut.A00300.v2.0,0.300528575,6.09660942,0.235907118,0.428099394,0.627258956,FALSE
19241,Migut.K01069.v2.0,-0.63409359,6.853974793,0.235926787,0.428099394,0.627222748,FALSE
19327,Migut.K01155.v2.0,-0.326892217,5.530265676,0.235982161,0.428119431,0.627120826,FALSE
21064,Migut.L01375.v2.0,-0.304481745,4.336912137,0.236209794,0.428451912,0.6267021,FALSE
4787,Migut.D00207.v2.0,0.278799609,4.624365781,0.23630279,0.428503071,0.62653115,FALSE
26729,Migut.N02946.v2.0,-0.361945134,5.456390669,0.236339296,0.428503071,0.626464062,FALSE
11358,Migut.G00208.v2.0,-0.2399922,5.145588038,0.236371115,0.428503071,0.626405596,FALSE
14414,Migut.H01912.v2.0,0.348407014,5.101410542,0.236520379,0.428693187,0.626131433,FALSE
13326,Migut.H00824.v2.0,-0.371676047,4.263026554,0.236672049,0.428887591,0.62585303,FALSE
26172,Migut.N02389.v2.0,0.317231527,5.281055485,0.236856565,0.429087612,0.625514573,FALSE
5465,Migut.D00885.v2.0,-0.39572833,6.097745157,0.236872397,0.429087612,0.625485545,FALSE
21293,Migut.L01604.v2.0,0.348601465,6.583886066,0.236915724,0.429087612,0.625406114,FALSE
1427,Migut.B00182.v2.0,-0.368925706,6.404333948,0.237197078,0.429488765,0.624890665,FALSE
15641,Migut.I00580.v2.0,-0.254012101,5.082276779,0.237226165,0.429488765,0.624837412,FALSE
22365,Migut.M00621.v2.0,-0.393379037,4.530183915,0.237521055,0.429942048,0.624297887,FALSE
923,Migut.A00923.v2.0,-0.490153483,7.083483684,0.23759633,0.429997706,0.624160272,FALSE
5111,Migut.D00531.v2.0,0.29225031,4.499875333,0.237708028,0.430119248,0.623956151,FALSE
5469,Migut.D00889.v2.0,-0.254675617,7.432283289,0.237977655,0.430473617,0.623463819,FALSE
10821,Migut.F01813.v2.0,-0.25545147,5.013296712,0.237993025,0.430473617,0.623435771,FALSE
5066,Migut.D00486.v2.0,-0.27317067,4.582100493,0.238148405,0.43062182,0.623152323,FALSE
23468,Migut.M01724.v2.0,0.376919552,7.349887035,0.238171255,0.43062182,0.623110655,FALSE
16150,Migut.I01089.v2.0,0.280256773,4.473910416,0.238208736,0.43062182,0.623042315,FALSE
1600,Migut.B00355.v2.0,-0.298400867,8.067313464,0.238556098,0.43116905,0.622409478,FALSE
13128,Migut.H00626.v2.0,0.328794832,4.797523189,0.238880097,0.431536833,0.621820032,FALSE
21239,Migut.L01550.v2.0,-0.333678032,5.182909119,0.238890597,0.431536833,0.621800944,FALSE
25612,Migut.N01829.v2.0,0.579599797,5.173862014,0.238912936,0.431536833,0.621760335,FALSE
3866,Migut.C00698.v2.0,0.259587234,4.980022126,0.238938329,0.431536833,0.621714177,FALSE
18692,Migut.K00520.v2.0,0.436317238,4.890917299,0.239177192,0.43181082,0.621280237,FALSE
23312,Migut.M01568.v2.0,0.423119028,4.511821858,0.239179463,0.43181082,0.621276113,FALSE
7646,Migut.E00467.v2.0,0.585203015,3.903309877,0.239279181,0.431886604,0.621095087,FALSE
24582,Migut.N00799.v2.0,0.450062136,6.311260018,0.239310885,0.431886604,0.621037547,FALSE
11460,Migut.G00310.v2.0,-0.294648781,5.296939198,0.23939973,0.431909423,0.620876344,FALSE
22961,Migut.M01217.v2.0,0.381307366,4.098489792,0.23941298,0.431909423,0.620852308,FALSE
8621,Migut.E01442.v2.0,0.273398852,8.66251912,0.239752386,0.432386264,0.620237062,FALSE
10721,Migut.F01713.v2.0,0.204669182,5.088189602,0.239799424,0.432386264,0.620151865,FALSE
6434,Migut.D01854.v2.0,-0.254778143,8.832831949,0.239811621,0.432386264,0.620129774,FALSE
9177,Migut.F00169.v2.0,0.214116341,5.97249788,0.23995673,0.432567134,0.619867065,FALSE
5188,Migut.D00608.v2.0,0.272463537,8.492091512,0.240002685,0.432569229,0.6197839,FALSE
1995,Migut.B00750.v2.0,0.287656173,4.567153346,0.240244895,0.432924976,0.619345833,FALSE
12887,Migut.H00385.v2.0,0.934797409,5.679876885,0.240435038,0.433186783,0.619002244,FALSE
16131,Migut.I01070.v2.0,-0.245356967,5.139709324,0.240613294,0.433427081,0.618680381,FALSE
