,genes,logFC,logCPM,PValue,FDR,log10p,sig
23229,Migut.M01485.v2.0,0.031489478,4.742930806,0.867449956,0.941231935,0.061755571,FALSE
5873,Migut.D01293.v2.0,0.042876378,6.964779296,0.868072585,0.941801702,0.061443959,FALSE
18143,Migut.J01866.v2.0,0.015962182,5.241788212,0.868432312,0.942031831,0.061264026,FALSE
15940,Migut.I00879.v2.0,-0.087479929,4.733768699,0.868571018,0.942031831,0.061194666,FALSE
2172,Migut.B00927.v2.0,-0.017237512,5.461140709,0.868663277,0.942031831,0.061148538,FALSE
8809,Migut.E01630.v2.0,-0.052029204,4.280615919,0.868674894,0.942031831,0.06114273,FALSE
20708,Migut.L01019.v2.0,-0.034753689,7.235417325,0.868827769,0.942091821,0.061066307,FALSE
24421,Migut.N00638.v2.0,-0.052155925,5.589691158,0.869005417,0.942178658,0.060977517,FALSE
22928,Migut.M01184.v2.0,0.065901183,4.09127994,0.869202356,0.942286389,0.060879105,FALSE
25158,Migut.N01375.v2.0,0.049955127,5.266277893,0.869371127,0.942363562,0.060794787,FALSE
16758,Migut.J00481.v2.0,0.048609832,7.602590653,0.869585916,0.942383369,0.060687503,FALSE
5663,Migut.D01083.v2.0,-0.045471806,5.773303906,0.869642435,0.942383369,0.060659277,FALSE
25063,Migut.N01280.v2.0,0.042301965,6.733898868,0.869832885,0.942383369,0.060564178,FALSE
10615,Migut.F01607.v2.0,0.010781118,5.681817878,0.869903334,0.942383369,0.060529005,FALSE
15273,Migut.I00212.v2.0,-0.03086884,6.186702147,0.869965097,0.942383369,0.060498171,FALSE
6372,Migut.D01792.v2.0,0.056825508,4.461949543,0.869988853,0.942383369,0.060486312,FALSE
10468,Migut.F01460.v2.0,0.029457195,4.8376891,0.870072498,0.942383369,0.060444559,FALSE
10425,Migut.F01417.v2.0,0.025802006,4.796776661,0.870556624,0.942801987,0.060202975,FALSE
27388,Migut.O00229.v2.0,0.013542289,4.982109474,0.870872191,0.94285191,0.060045577,FALSE
8328,Migut.E01149.v2.0,-0.032468882,7.096665733,0.870874202,0.94285191,0.060044574,FALSE
5797,Migut.D01217.v2.0,0.027473122,5.630338034,0.870969554,0.94285191,0.059997026,FALSE
4577,Migut.C01409.v2.0,0.053223926,5.369128079,0.87110981,0.94285191,0.059927095,FALSE
