,genes,logFC,logCPM,PValue,FDR,log10p,sig
9913,Migut.F00905.v2.0,-0.412290689,4.681655225,0.116819232,0.346581666,0.932485653,FALSE
1728,Migut.B00483.v2.0,-1.030194966,6.616136038,0.117026808,0.347002324,0.931714641,FALSE
7021,Migut.D02441.v2.0,0.311316491,6.627028526,0.117065241,0.347002324,0.931572036,FALSE
14153,Migut.H01651.v2.0,0.38035597,6.034110399,0.117087683,0.347002324,0.931488788,FALSE
24086,Migut.N00303.v2.0,-0.319178723,4.901836606,0.117148902,0.347002324,0.931261778,FALSE
19838,Migut.L00149.v2.0,-0.501809153,4.688817809,0.117161841,0.347002324,0.931213813,FALSE
21782,Migut.M00038.v2.0,-0.388529606,5.093168136,0.117176616,0.347002324,0.931159049,FALSE
2442,Migut.B01197.v2.0,0.366318063,4.532356354,0.117237626,0.347031116,0.930932985,FALSE
19894,Migut.L00205.v2.0,0.321265788,5.663116007,0.11725821,0.347031116,0.930856741,FALSE
9760,Migut.F00752.v2.0,-0.392634478,4.38401066,0.117395715,0.347331625,0.930347753,FALSE
21119,Migut.L01430.v2.0,0.401406121,5.319920776,0.117641379,0.347951851,0.929439894,FALSE
14059,Migut.H01557.v2.0,0.527562664,4.169607469,0.117839498,0.348431118,0.928709117,FALSE
16696,Migut.J00419.v2.0,0.761270155,3.718411955,0.118251597,0.349214558,0.927192986,FALSE
9386,Migut.F00378.v2.0,0.286549557,6.241994485,0.118259455,0.349214558,0.927164127,FALSE
16055,Migut.I00994.v2.0,-0.775242405,5.46235275,0.118267158,0.349214558,0.927135839,FALSE
26800,Migut.N03017.v2.0,-0.283062829,5.178742882,0.118282681,0.349214558,0.927078839,FALSE
8509,Migut.E01330.v2.0,-0.474054932,11.3401039,0.118285267,0.349214558,0.927069347,FALSE
2713,Migut.B01468.v2.0,0.301976136,5.678469131,0.118361238,0.349286784,0.9267905,FALSE
10099,Migut.F01091.v2.0,-0.423703414,6.994012088,0.118382069,0.349286784,0.926714072,FALSE
9494,Migut.F00486.v2.0,-0.401897925,4.825386819,0.118516603,0.349432776,0.926220806,FALSE
